NUMBER,AGE,WORKCLASS,EDUCATION_NUM,MARITAL_STATUS,OCCUPATION,SEX,HOURS_PER_WEEK,INCOME,CLUSTER
0,25,SelfEmployed,9,Never,Farming-fishing,Male,30,<=50K,cluster0
1,30,Private,9,Never,Machine-op-inspct,Male,40,<=50K,cluster0
2,20,Private,9,Never,Craft-repair,Male,40,<=50K,cluster0
3,20,Private,10,Never,Sales,Male,40,<=50K,cluster0
4,20,Govt,10,Married,Other-service,Male,10,<=50K,cluster0
5,20,Private,10,Never,Machine-op-inspct,Male,40,<=50K,cluster0
6,20,Private,9,Married,Adm-clerical,Female,20,<=50K,cluster0
7,25,Private,9,Never,Handlers-cleaners,Male,30,<=50K,cluster0
8,25,Private,10,Married,Exec-managerial,Female,40,<=50K,cluster0
9,20,Private,9,Never,Other-service,Female,30,<=50K,cluster0
10,25,Private,10,Never,Farming-fishing,Male,40,<=50K,cluster0
11,20,Private,10,Never,Prof-speciality,Male,30,<=50K,cluster0
12,25,Private,10,Never,Machine-op-inspct,Male,40,<=50K,cluster0
13,25,Private,9,Never,Other-service,Male,40,<=50K,cluster0
14,20,Private,8,Never,Other-service,Female,20,<=50K,cluster0
15,20,Private,9,Never,Sales,Male,30,<=50K,cluster0
16,30,Private,8,Never,Sales,Male,40,<=50K,cluster0
17,30,Private,9,Married,Sales,Female,30,<=50K,cluster0
18,30,Govt,10,Never,Handlers-cleaners,Male,50,<=50K,cluster0
19,30,Govt,9,Never,Other-service,Male,40,<=50K,cluster0
20,20,Private,10,Never,Tech-support,Female,40,<=50K,cluster0
21,30,Private,9,Never,Craft-repair,Male,40,<=50K,cluster0
22,20,Private,8,Never,Sales,Female,30,<=50K,cluster0
23,30,Private,8,Never,Handlers-cleaners,Male,40,<=50K,cluster0
24,30,Govt,9,Never,Adm-clerical,Female,40,<=50K,cluster0
25,30,Private,10,Married,Sales,Female,20,<=50K,cluster0
26,35,Private,9,Never,Machine-op-inspct,Female,40,<=50K,cluster0
27,20,Private,9,Never,Craft-repair,Male,40,<=50K,cluster0
28,20,Private,10,Never,Other-service,Female,40,<=50K,cluster0
29,20,Private,10,Never,Other-service,Male,30,<=50K,cluster0
30,20,Private,10,Never,Adm-clerical,Female,30,<=50K,cluster0
31,25,Private,9,Never,Other-service,Female,40,<=50K,cluster0
32,20,Private,10,Never,Sales,Male,20,<=50K,cluster0
33,25,Private,10,Never,Sales,Female,40,<=50K,cluster0
34,20,Private,10,Never,Other-service,Male,30,<=50K,cluster0
35,30,Private,9,Never,Transport-moving,Female,30,<=50K,cluster0
36,20,Private,10,Married,Other-service,Male,20,<=50K,cluster0
37,20,Private,9,Never,Craft-repair,Male,30,<=50K,cluster0
38,25,Private,9,Never,Other-service,Female,40,<=50K,cluster0
39,30,Private,9,Never,Exec-managerial,Female,40,<=50K,cluster0
40,20,Private,8,Never,Handlers-cleaners,Male,20,<=50K,cluster0
41,25,Private,9,Never,Other-service,Male,40,<=50K,cluster0
42,25,Private,9,Others,Sales,Female,20,<=50K,cluster0
43,20,Private,9,Never,Craft-repair,Male,40,<=50K,cluster0
44,35,Private,9,Never,Handlers-cleaners,Male,40,<=50K,cluster0
45,20,Private,9,Never,Other-service,Male,10,<=50K,cluster0
46,30,Private,10,Never,Craft-repair,Male,40,<=50K,cluster0
47,25,SelfEmployed,9,Never,Sales,Male,40,<=50K,cluster0
48,20,Private,9,Never,Sales,Male,40,<=50K,cluster0
49,20,Private,8,Never,Sales,Female,40,<=50K,cluster0
50,20,Private,8,Never,Sales,Female,10,<=50K,cluster0
51,25,Private,8,Never,Craft-repair,Male,40,<=50K,cluster0
52,20,Private,9,Never,Sales,Female,40,<=50K,cluster0
53,25,Private,10,Never,Adm-clerical,Male,40,<=50K,cluster0
54,25,Private,9,Never,Transport-moving,Male,40,<=50K,cluster0
55,20,SelfEmployed,10,Never,Transport-moving,Male,20,<=50K,cluster0
56,30,Private,9,Never,Other-service,Female,30,<=50K,cluster0
57,20,Govt,10,Never,Adm-clerical,Male,40,<=50K,cluster0
58,20,Private,9,Never,Other-service,Female,40,<=50K,cluster0
59,20,Private,8,Never,Other-service,Male,10,<=50K,cluster0
60,20,Private,10,Never,Protective-serv,Male,20,<=50K,cluster0
61,20,Private,8,Never,Other-service,Male,20,<=50K,cluster0
62,25,Private,10,Never,Tech-support,Female,40,<=50K,cluster0
63,20,Private,9,Never,Handlers-cleaners,Male,40,<=50K,cluster0
64,20,Private,10,Never,Sales,Male,40,<=50K,cluster0
65,25,Private,9,Never,Craft-repair,Male,40,<=50K,cluster0
66,20,Private,10,Never,Other-service,Female,20,<=50K,cluster0
67,25,Private,10,Married,Adm-clerical,Female,40,<=50K,cluster0
68,20,Private,10,Never,Other-service,Female,20,<=50K,cluster0
69,20,Private,10,Never,Sales,Male,10,<=50K,cluster0
70,25,Private,10,Never,Machine-op-inspct,Male,40,<=50K,cluster0
71,30,Private,10,Never,Tech-support,Female,40,<=50K,cluster0
72,30,Private,8,Never,Exec-managerial,Female,40,<=50K,cluster0
73,30,Private,9,Never,Craft-repair,Male,40,<=50K,cluster0
74,20,Private,9,Never,Sales,Male,30,<=50K,cluster0
75,35,Private,9,Never,Farming-fishing,Male,20,<=50K,cluster0
76,20,Govt,10,Never,Protective-serv,Female,40,<=50K,cluster0
77,25,Private,9,Married,Other-service,Male,40,<=50K,cluster0
78,20,Private,9,Others,Sales,Male,50,<=50K,cluster0
79,25,Govt,10,Never,Adm-clerical,Female,10,<=50K,cluster0
80,20,Private,8,Never,Other-service,Male,10,<=50K,cluster0
81,20,Govt,10,Never,Adm-clerical,Female,10,<=50K,cluster0
82,25,Private,10,Never,Sales,Male,40,<=50K,cluster0
83,25,Private,9,Never,Other-service,Female,20,<=50K,cluster0
84,20,Private,10,Never,Adm-clerical,Female,20,<=50K,cluster0
85,20,Private,9,Never,Other-service,Female,40,<=50K,cluster0
86,35,Private,9,Never,Other-service,Female,30,<=50K,cluster0
87,20,Private,9,Never,Craft-repair,Female,30,<=50K,cluster0
88,20,Private,10,Never,Handlers-cleaners,Male,40,<=50K,cluster0
89,30,Private,10,Never,Other-service,Female,40,<=50K,cluster0
90,25,Private,9,Never,Handlers-cleaners,Female,40,<=50K,cluster0
91,30,Private,8,Never,Other-service,Female,20,<=50K,cluster0
92,20,Private,10,Married,Sales,Male,30,<=50K,cluster0
93,20,Private,8,Never,Handlers-cleaners,Male,20,<=50K,cluster0
94,35,Private,8,Never,Craft-repair,Female,30,<=50K,cluster0
95,25,Private,9,Never,Handlers-cleaners,Male,70,<=50K,cluster0
96,20,Private,8,Never,Sales,Male,40,<=50K,cluster0
97,25,Private,10,Never,Craft-repair,Male,40,<=50K,cluster0
98,25,Private,10,Married,Adm-clerical,Male,40,<=50K,cluster0
99,25,Govt,9,Never,Protective-serv,Male,40,<=50K,cluster0
100,25,Private,8,Never,Craft-repair,Male,40,<=50K,cluster0
101,20,Private,10,Never,Sales,Male,30,<=50K,cluster0
102,20,Private,8,Never,Craft-repair,Female,10,<=50K,cluster0
103,20,Private,9,Never,Machine-op-inspct,Female,40,<=50K,cluster0
104,20,Private,10,Never,Other-service,Male,40,<=50K,cluster0
105,30,Private,9,Never,Transport-moving,Male,60,<=50K,cluster0
106,20,Private,8,Never,Other-service,Male,10,<=50K,cluster0
107,20,Private,10,Never,Handlers-cleaners,Male,30,<=50K,cluster0
108,25,Private,8,Never,Other-service,Male,40,<=50K,cluster0
109,25,Private,9,Never,Other-service,Female,30,<=50K,cluster0
110,20,Private,10,Never,Machine-op-inspct,Male,40,<=50K,cluster0
111,25,Private,10,Never,Prof-speciality,Female,30,<=50K,cluster0
112,25,Govt,9,Never,Farming-fishing,Male,40,<=50K,cluster0
113,20,Private,10,Never,Protective-serv,Male,10,<=50K,cluster0
114,25,Private,10,Never,Adm-clerical,Female,20,<=50K,cluster0
115,20,Private,10,Never,Tech-support,Male,20,<=50K,cluster0
116,20,Private,10,Never,Handlers-cleaners,Female,30,<=50K,cluster0
117,25,Govt,10,Others,Handlers-cleaners,Male,50,<=50K,cluster0
118,30,Private,10,Married,Sales,Female,40,<=50K,cluster0
119,25,Private,9,Never,Machine-op-inspct,Male,40,<=50K,cluster0
120,30,Private,10,Never,Handlers-cleaners,Female,40,<=50K,cluster0
121,25,Private,9,Never,Transport-moving,Male,40,<=50K,cluster0
122,30,Private,9,Never,Handlers-cleaners,Female,40,<=50K,cluster0
123,20,Private,9,Never,Handlers-cleaners,Male,40,<=50K,cluster0
124,30,Private,10,Never,Craft-repair,Male,40,<=50K,cluster0
125,25,Private,9,Never,Handlers-cleaners,Female,40,<=50K,cluster0
126,20,Private,9,Never,Handlers-cleaners,Male,50,<=50K,cluster0
127,25,Private,9,Never,Craft-repair,Male,40,<=50K,cluster0
128,20,Private,8,Never,Sales,Male,10,<=50K,cluster0
129,20,Private,8,Never,Craft-repair,Male,20,<=50K,cluster0
130,20,Private,10,Never,Sales,Female,20,<=50K,cluster0
131,30,Private,10,Never,Adm-clerical,Male,60,<=50K,cluster0
132,20,Private,8,Never,Other-service,Male,40,<=50K,cluster0
133,25,Private,9,Never,Sales,Male,40,<=50K,cluster0
134,25,Private,10,Never,Sales,Female,20,<=50K,cluster0
135,25,Private,10,Never,Tech-support,Male,40,<=50K,cluster0
136,20,Private,10,Never,Adm-clerical,Male,30,<=50K,cluster0
137,30,Private,9,Never,Craft-repair,Male,40,<=50K,cluster0
138,20,Private,8,Never,Other-service,Female,20,<=50K,cluster0
139,25,Private,9,Never,Craft-repair,Male,40,<=50K,cluster0
140,30,Private,9,Never,Farming-fishing,Male,60,<=50K,cluster0
141,20,Private,9,Never,Other-service,Female,10,<=50K,cluster0
142,20,Private,10,Never,Handlers-cleaners,Male,40,<=50K,cluster0
143,20,Private,10,Never,Other-service,Male,20,<=50K,cluster0
144,25,Private,9,Never,Exec-managerial,Male,50,<=50K,cluster0
145,25,Private,9,Never,Machine-op-inspct,Female,30,<=50K,cluster0
146,30,Govt,10,Never,Adm-clerical,Female,40,<=50K,cluster0
147,25,Private,10,Never,Prof-speciality,Male,40,<=50K,cluster0
148,20,Private,10,Never,Sales,Female,20,<=50K,cluster0
149,25,Private,8,Never,Machine-op-inspct,Male,40,<=50K,cluster0
150,20,Private,8,Never,Prof-speciality,Female,20,<=50K,cluster0
151,20,SelfEmployed,8,Never,Farming-fishing,Male,10,<=50K,cluster0
152,20,Private,9,Never,Sales,Female,40,<=50K,cluster0
153,20,Private,8,Never,Other-service,Male,20,<=50K,cluster0
154,30,Private,9,Never,Craft-repair,Male,40,<=50K,cluster0
155,30,Govt,9,Never,Protective-serv,Male,50,<=50K,cluster0
156,20,Govt,8,Never,Adm-clerical,Female,10,<=50K,cluster0
157,25,Private,9,Never,Other-service,Male,30,<=50K,cluster0
158,25,Private,10,Never,Machine-op-inspct,Female,40,<=50K,cluster0
159,20,Private,10,Never,Prof-speciality,Male,20,<=50K,cluster0
160,20,Private,9,Never,Sales,Female,20,<=50K,cluster0
161,20,Private,10,Never,Handlers-cleaners,Male,30,<=50K,cluster0
162,20,Private,8,Never,Other-service,Male,20,<=50K,cluster0
163,20,Govt,9,Never,Tech-support,Female,40,<=50K,cluster0
164,20,Private,10,Never,Sales,Female,10,<=50K,cluster0
165,35,Private,9,Never,Other-service,Male,40,<=50K,cluster0
166,20,Private,10,Never,Other-service,Female,20,<=50K,cluster0
167,25,Private,10,Never,Other-service,Female,20,<=50K,cluster0
168,20,Private,10,Never,Other-service,Female,20,<=50K,cluster0
169,20,Private,8,Never,Handlers-cleaners,Male,20,<=50K,cluster0
170,30,Private,10,Never,Adm-clerical,Female,40,<=50K,cluster0
171,30,Private,8,Never,Craft-repair,Male,40,<=50K,cluster0
172,25,Private,9,Never,Transport-moving,Male,50,<=50K,cluster0
173,35,Private,9,Never,Other-service,Female,20,<=50K,cluster0
174,20,Private,10,Married,Sales,Female,30,<=50K,cluster0
