X,Algorithm,value
100000,AdaHT,84.2
150000,AdaHT,84.64
200000,AdaHT,86.3
250000,AdaHT,88.0
300000,AdaHT,88.6
350000,AdaHT,80.22
400000,AdaHT,86.64
450000,AdaHT,86.58
50000,AdaHT,76.72
500000,AdaHT,79.82
550000,AdaHT,83.44
600000,AdaHT,85.46
650000,AdaHT,84.78
700000,AdaHT,86.44
750000,AdaHT,87.34
800000,AdaHT,83.46
850000,AdaHT,86.1
900000,AdaHT,88.88
950000,AdaHT,79.86
100000,ASHT,74.58
1000000,ASHT,80.16
150000,ASHT,73.66
200000,ASHT,79.16
250000,ASHT,82.22
300000,ASHT,81.94
350000,ASHT,74.08
400000,ASHT,78.26
450000,ASHT,77.72
50000,ASHT,72.22
500000,ASHT,74.68
550000,ASHT,78.24
600000,ASHT,77.96
650000,ASHT,74.5
700000,ASHT,77.38
750000,ASHT,73.94
800000,ASHT,79.8
850000,ASHT,84.02
900000,ASHT,82.14
950000,ASHT,78.74
100000,BagAdaHT,84.92
1000000,BagAdaHT,88.88
150000,BagAdaHT,89.78
200000,BagAdaHT,87.38
250000,BagAdaHT,90.42
300000,BagAdaHT,92.0
350000,BagAdaHT,89.22
400000,BagAdaHT,92.72
450000,BagAdaHT,94.18
50000,BagAdaHT,78.58
500000,BagAdaHT,88.68
550000,BagAdaHT,91.26
600000,BagAdaHT,91.34
650000,BagAdaHT,92.06
700000,BagAdaHT,94.54
750000,BagAdaHT,95.38
800000,BagAdaHT,89.44
850000,BagAdaHT,93.9
900000,BagAdaHT,94.58
950000,BagAdaHT,89.1
100000,BagAdwin,84.92
1000000,BagAdwin,89.26
150000,BagAdwin,85.96
200000,BagAdwin,89.58
250000,BagAdwin,91.5
300000,BagAdwin,94.2
350000,BagAdwin,77.5
400000,BagAdwin,80.82
450000,BagAdwin,86.0
50000,BagAdwin,78.8
500000,BagAdwin,84.42
550000,BagAdwin,87.0
600000,BagAdwin,88.56
650000,BagAdwin,84.74
700000,BagAdwin,90.94
750000,BagAdwin,92.62
800000,BagAdwin,89.26
850000,BagAdwin,90.02
900000,BagAdwin,92.16
950000,BagAdwin,86.16
100000,BagASHT,80.7
1000000,BagASHT,81.8
150000,BagASHT,81.86
200000,BagASHT,76.48
250000,BagASHT,81.96
300000,BagASHT,82.26
350000,BagASHT,82.7
400000,BagASHT,83.14
450000,BagASHT,71.8
50000,BagASHT,78.0
500000,BagASHT,76.16
550000,BagASHT,78.48
600000,BagASHT,79.62
650000,BagASHT,81.62
700000,BagASHT,81.44
750000,BagASHT,80.02
800000,BagASHT,70.84
850000,BagASHT,76.02
900000,BagASHT,78.88
950000,BagASHT,78.26
100000,BagHT,88.36
1000000,BagHT,94.56
150000,BagHT,89.88
200000,BagHT,87.72
250000,BagHT,90.64
300000,BagHT,91.18
350000,BagHT,87.72
400000,BagHT,90.26
450000,BagHT,90.16
50000,BagHT,85.06
500000,BagHT,91.44
550000,BagHT,92.0
600000,BagHT,92.02
650000,BagHT,88.4
700000,BagHT,92.62
750000,BagHT,92.78
800000,BagHT,93.64
850000,BagHT,93.48
900000,BagHT,94.08
950000,BagHT,93.26
100000,BagSRHT,75.44
1000000,BagSRHT,75.46
150000,BagSRHT,75.26
200000,BagSRHT,73.42
250000,BagSRHT,75.6
300000,BagSRHT,76.58
350000,BagSRHT,77.6
400000,BagSRHT,79.12
450000,BagSRHT,79.68
50000,BagSRHT,73.18
500000,BagSRHT,74.94
550000,BagSRHT,76.52
600000,BagSRHT,76.76
650000,BagSRHT,76.36
700000,BagSRHT,78.9
750000,BagSRHT,77.26
800000,BagSRHT,73.9
850000,BagSRHT,76.28
900000,BagSRHT,75.64
950000,BagSRHT,77.22
100000,BoostAdaHT,86.54
1000000,BoostAdaHT,89.92
150000,BoostAdaHT,87.74
200000,BoostAdaHT,88.36
250000,BoostAdaHT,91.14
300000,BoostAdaHT,90.92
350000,BoostAdaHT,85.74
400000,BoostAdaHT,89.52
450000,BoostAdaHT,89.14
50000,BoostAdaHT,80.02
500000,BoostAdaHT,91.06
550000,BoostAdaHT,92.86
600000,BoostAdaHT,92.74
650000,BoostAdaHT,88.92
700000,BoostAdaHT,90.72
750000,BoostAdaHT,92.62
800000,BoostAdaHT,85.34
850000,BoostAdaHT,88.78
900000,BoostAdaHT,89.2
950000,BoostAdaHT,86.44
100000,BoostHT,89.26
1000000,BoostHT,92.1
150000,BoostHT,91.68
200000,BoostHT,87.16
250000,BoostHT,89.98
300000,BoostHT,90.74
350000,BoostHT,92.06
400000,BoostHT,95.06
450000,BoostHT,95.54
50000,BoostHT,80.88
500000,BoostHT,87.9
550000,BoostHT,90.64
600000,BoostHT,91.86
650000,BoostHT,88.6
700000,BoostHT,90.54
750000,BoostHT,92.4
800000,BoostHT,88.64
850000,BoostHT,94.18
900000,BoostHT,95.28
950000,BoostHT,90.78
100000,HT,79.56
150000,HT,83.56
200000,HT,83.6
250000,HT,90.62
300000,HT,91.2
350000,HT,74.0
400000,HT,83.44
450000,HT,86.72
50000,HT,73.08
500000,HT,89.76
550000,HT,92.12
600000,HT,92.6
650000,HT,88.16
700000,HT,90.34
750000,HT,91.86
800000,HT,89.6
850000,HT,90.48
900000,HT,91.5
950000,HT,89.64
