X,Algorithm,value
100000,AdaHT,67.06
150000,AdaHT,68.22
200000,AdaHT,72.6
250000,AdaHT,75.97
300000,AdaHT,77.17
350000,AdaHT,51.46
400000,AdaHT,64.1
450000,AdaHT,65.6
50000,AdaHT,52.12
500000,AdaHT,59.21
550000,AdaHT,66.82
600000,AdaHT,70.72
650000,AdaHT,69.1
700000,AdaHT,72.29
750000,AdaHT,73.34
800000,AdaHT,65.0
850000,AdaHT,70.23
900000,AdaHT,76.02
950000,AdaHT,56.78
100000,ASHT,47.41
1000000,ASHT,51.56
150000,ASHT,45.71
200000,ASHT,57.99
250000,ASHT,63.95
300000,ASHT,63.62
350000,ASHT,47.95
400000,ASHT,56.48
450000,ASHT,55.28
50000,ASHT,42.87
500000,ASHT,40.34
550000,ASHT,46.05
600000,ASHT,45.47
650000,ASHT,44.0
700000,ASHT,51.5
750000,ASHT,45.15
800000,ASHT,59.18
850000,ASHT,67.27
900000,ASHT,63.26
950000,ASHT,49.83
100000,BagAdaHT,69.31
1000000,BagAdaHT,75.68
150000,BagAdaHT,79.16
200000,BagAdaHT,74.77
250000,BagAdaHT,80.83
300000,BagAdaHT,84.0
350000,BagAdaHT,77.59
400000,BagAdaHT,84.63
450000,BagAdaHT,87.74
50000,BagAdaHT,56.14
500000,BagAdaHT,76.93
550000,BagAdaHT,82.31
600000,BagAdaHT,82.5
650000,BagAdaHT,83.76
700000,BagAdaHT,88.81
750000,BagAdaHT,90.53
800000,BagAdaHT,78.71
850000,BagAdaHT,87.51
900000,BagAdaHT,88.96
950000,BagAdaHT,76.19
100000,BagAdwin,65.13
1000000,BagAdwin,72.86
150000,BagAdwin,68.61
200000,BagAdwin,78.83
250000,BagAdwin,82.8
300000,BagAdwin,88.35
350000,BagAdwin,54.1
400000,BagAdwin,61.08
450000,BagAdwin,71.59
50000,BagAdwin,54.01
500000,BagAdwin,64.6
550000,BagAdwin,69.95
600000,BagAdwin,74.47
650000,BagAdwin,63.0
700000,BagAdwin,78.56
750000,BagAdwin,82.35
800000,BagAdwin,76.9
850000,BagAdwin,78.6
900000,BagAdwin,83.32
950000,BagAdwin,65.32
100000,BagASHT,59.98
1000000,BagASHT,62.63
150000,BagASHT,63.96
200000,BagASHT,56.07
250000,BagASHT,68.64
300000,BagASHT,68.48
350000,BagASHT,70.45
400000,BagASHT,71.28
450000,BagASHT,68.64
50000,BagASHT,54.65
500000,BagASHT,51.78
550000,BagASHT,55.98
600000,BagASHT,59.84
650000,BagASHT,61.79
700000,BagASHT,61.46
750000,BagASHT,56.19
800000,BagASHT,40.83
850000,BagASHT,57.3
900000,BagASHT,62.69
950000,BagASHT,56.2
100000,BagHT,70.72
1000000,BagHT,88.48
150000,BagHT,74.14
200000,BagHT,69.4
250000,BagHT,76.65
300000,BagHT,78.62
350000,BagHT,73.13
400000,BagHT,79.38
450000,BagHT,79.08
50000,BagHT,60.44
500000,BagHT,82.29
550000,BagHT,83.41
600000,BagHT,83.58
650000,BagHT,76.13
700000,BagHT,85.0
750000,BagHT,85.23
800000,BagHT,87.17
850000,BagHT,86.83
900000,BagHT,88.08
950000,BagHT,86.02
100000,BagSRHT,49.24
1000000,BagSRHT,46.72
150000,BagSRHT,49.22
200000,BagSRHT,38.1
250000,BagSRHT,49.0
300000,BagSRHT,51.45
350000,BagSRHT,51.58
400000,BagSRHT,54.54
450000,BagSRHT,55.81
50000,BagSRHT,38.93
500000,BagSRHT,41.92
550000,BagSRHT,44.99
600000,BagSRHT,45.5
650000,BagSRHT,41.22
700000,BagSRHT,51.75
750000,BagSRHT,47.79
800000,BagSRHT,48.05
850000,BagSRHT,52.54
900000,BagSRHT,51.14
950000,BagSRHT,48.21
100000,BoostAdaHT,71.68
1000000,BoostAdaHT,79.8
150000,BoostAdaHT,74.48
200000,BoostAdaHT,75.98
250000,BoostAdaHT,81.65
300000,BoostAdaHT,81.16
350000,BoostAdaHT,69.01
400000,BoostAdaHT,77.05
450000,BoostAdaHT,76.78
50000,BoostAdaHT,58.67
500000,BoostAdaHT,81.2
550000,BoostAdaHT,84.56
600000,BoostAdaHT,84.58
650000,BoostAdaHT,75.51
700000,BoostAdaHT,78.43
750000,BoostAdaHT,82.97
800000,BoostAdaHT,69.65
850000,BoostAdaHT,76.53
900000,BoostAdaHT,77.55
950000,BoostAdaHT,72.83
100000,BoostHT,77.79
1000000,BoostHT,81.59
150000,BoostHT,82.86
200000,BoostHT,74.18
250000,BoostHT,79.94
300000,BoostHT,81.34
350000,BoostHT,83.43
400000,BoostHT,89.68
450000,BoostHT,90.58
50000,BoostHT,60.75
500000,BoostHT,73.48
550000,BoostHT,79.9
600000,BoostHT,82.67
650000,BoostHT,76.78
700000,BoostHT,80.7
750000,BoostHT,84.47
800000,BoostHT,71.54
850000,BoostHT,84.88
900000,BoostHT,87.55
950000,BoostHT,78.06
100000,HT,56.72
150000,HT,65.8
200000,HT,67.21
250000,HT,81.24
300000,HT,82.4
350000,HT,33.3
400000,HT,59.41
450000,HT,68.18
50000,HT,44.19
500000,HT,66.58
550000,HT,74.73
600000,HT,75.97
650000,HT,65.44
700000,HT,72.7
750000,HT,76.68
800000,HT,72.74
850000,HT,75.77
900000,HT,78.38
950000,HT,72.05
