X,Algorithm,value
100000,AdaHT,0
150000,AdaHT,0
200000,AdaHT,0
250000,AdaHT,0
300000,AdaHT,0
350000,AdaHT,0
400000,AdaHT,0
450000,AdaHT,0
50000,AdaHT,0
500000,AdaHT,0
550000,AdaHT,0
600000,AdaHT,0
650000,AdaHT,0
700000,AdaHT,0
750000,AdaHT,0
800000,AdaHT,0
850000,AdaHT,0
900000,AdaHT,0
950000,AdaHT,0
100000,ASHT,2
1000000,ASHT,32
150000,ASHT,4
200000,ASHT,6
250000,ASHT,7
300000,ASHT,11
350000,ASHT,12
400000,ASHT,14
450000,ASHT,16
50000,ASHT,1
500000,ASHT,18
550000,ASHT,19
600000,ASHT,21
650000,ASHT,22
700000,ASHT,24
750000,ASHT,25
800000,ASHT,26
850000,ASHT,28
900000,ASHT,29
950000,ASHT,31
100000,BagAdaHT,0.0
1000000,BagAdaHT,0.0
150000,BagAdaHT,0.0
200000,BagAdaHT,0.0
250000,BagAdaHT,0.0
300000,BagAdaHT,0.0
350000,BagAdaHT,0.0
400000,BagAdaHT,0.0
450000,BagAdaHT,0.0
50000,BagAdaHT,0.0
500000,BagAdaHT,0.0
550000,BagAdaHT,0.0
600000,BagAdaHT,0.0
650000,BagAdaHT,0.0
700000,BagAdaHT,0.0
750000,BagAdaHT,0.0
800000,BagAdaHT,0.0
850000,BagAdaHT,0.0
900000,BagAdaHT,0.0
950000,BagAdaHT,0.0
100000,BagAdwin,0.2
1000000,BagAdwin,8.4
150000,BagAdwin,0.2
200000,BagAdwin,1.4
250000,BagAdwin,1.4
300000,BagAdwin,1.4
350000,BagAdwin,3.2
400000,BagAdwin,3.2
450000,BagAdwin,3.2
50000,BagAdwin,0.2
500000,BagAdwin,4.6
550000,BagAdwin,4.6
600000,BagAdwin,4.6
650000,BagAdwin,5.8
700000,BagAdwin,5.8
750000,BagAdwin,5.8
800000,BagAdwin,7.2
850000,BagAdwin,7.2
900000,BagAdwin,7.2
950000,BagAdwin,8.4
100000,BagASHT,0.19
1000000,BagASHT,6.13
150000,BagASHT,0.45
200000,BagASHT,0.81
250000,BagASHT,1.06
300000,BagASHT,1.16
350000,BagASHT,1.48
400000,BagASHT,2.32
450000,BagASHT,2.65
50000,BagASHT,0.03
500000,BagASHT,2.9
550000,BagASHT,3.26
600000,BagASHT,3.52
650000,BagASHT,3.61
700000,BagASHT,4.39
750000,BagASHT,4.74
800000,BagASHT,5.0
850000,BagASHT,5.1
900000,BagASHT,5.32
950000,BagASHT,5.77
100000,BagHT,0.0
1000000,BagHT,0.0
150000,BagHT,0.0
200000,BagHT,0.0
250000,BagHT,0.0
300000,BagHT,0.0
350000,BagHT,0.0
400000,BagHT,0.0
450000,BagHT,0.0
50000,BagHT,0.0
500000,BagHT,0.0
550000,BagHT,0.0
600000,BagHT,0.0
650000,BagHT,0.0
700000,BagHT,0.0
750000,BagHT,0.0
800000,BagHT,0.0
850000,BagHT,0.0
900000,BagHT,0.0
950000,BagHT,0.0
100000,BagSRHT,0.0
1000000,BagSRHT,10.0
150000,BagSRHT,0.0
200000,BagSRHT,0.0
250000,BagSRHT,0.0
300000,BagSRHT,0.0
350000,BagSRHT,0.0
400000,BagSRHT,0.0
450000,BagSRHT,2.0
50000,BagSRHT,0.0
500000,BagSRHT,2.0
550000,BagSRHT,2.0
600000,BagSRHT,3.0
650000,BagSRHT,4.0
700000,BagSRHT,5.0
750000,BagSRHT,5.0
800000,BagSRHT,6.0
850000,BagSRHT,7.0
900000,BagSRHT,8.0
950000,BagSRHT,9.0
100000,BoostAdaHT,0.0
1000000,BoostAdaHT,0.0
150000,BoostAdaHT,0.0
200000,BoostAdaHT,0.0
250000,BoostAdaHT,0.0
300000,BoostAdaHT,0.0
350000,BoostAdaHT,0.0
400000,BoostAdaHT,0.0
450000,BoostAdaHT,0.0
50000,BoostAdaHT,0.0
500000,BoostAdaHT,0.0
550000,BoostAdaHT,0.0
600000,BoostAdaHT,0.0
650000,BoostAdaHT,0.0
700000,BoostAdaHT,0.0
750000,BoostAdaHT,0.0
800000,BoostAdaHT,0.0
850000,BoostAdaHT,0.0
900000,BoostAdaHT,0.0
950000,BoostAdaHT,0.0
100000,BoostHT,0.0
1000000,BoostHT,0.0
150000,BoostHT,0.0
200000,BoostHT,0.0
250000,BoostHT,0.0
300000,BoostHT,0.0
350000,BoostHT,0.0
400000,BoostHT,0.0
450000,BoostHT,0.0
50000,BoostHT,0.0
500000,BoostHT,0.0
550000,BoostHT,0.0
600000,BoostHT,0.0
650000,BoostHT,0.0
700000,BoostHT,0.0
750000,BoostHT,0.0
800000,BoostHT,0.0
850000,BoostHT,0.0
900000,BoostHT,0.0
950000,BoostHT,0.0
100000,HT,0
150000,HT,0
200000,HT,0
250000,HT,0
300000,HT,0
350000,HT,0
400000,HT,0
450000,HT,0
50000,HT,0
500000,HT,0
550000,HT,0
600000,HT,0
650000,HT,0
700000,HT,0
750000,HT,0
800000,HT,0
850000,HT,0
900000,HT,0
950000,HT,0
