X,Algorithm,value
100000,AdaHT,0.221
150000,AdaHT,0.356
200000,AdaHT,0.456
250000,AdaHT,0.536
300000,AdaHT,0.686
350000,AdaHT,0.797
400000,AdaHT,0.847
450000,AdaHT,0.983
50000,AdaHT,0.15
500000,AdaHT,1.084
550000,AdaHT,1.134
600000,AdaHT,1.245
650000,AdaHT,1.335
700000,AdaHT,1.405
750000,AdaHT,1.546
800000,AdaHT,1.636
850000,AdaHT,1.696
900000,AdaHT,1.846
950000,AdaHT,1.946
100000,ASHT,0.151
1000000,ASHT,1.213
150000,ASHT,0.272
200000,ASHT,0.312
250000,ASHT,0.362
300000,ASHT,0.482
350000,ASHT,0.522
400000,ASHT,0.552
450000,ASHT,0.644
50000,ASHT,0.111
500000,ASHT,0.674
550000,ASHT,0.714
600000,ASHT,0.794
650000,ASHT,0.834
700000,ASHT,0.864
750000,ASHT,0.974
800000,ASHT,1.014
850000,ASHT,1.044
900000,ASHT,1.139
950000,ASHT,1.181
100000,BagAdaHT,0.58
1000000,BagAdaHT,8.027
150000,BagAdaHT,0.962
200000,BagAdaHT,1.331
250000,BagAdaHT,1.704
300000,BagAdaHT,2.165
350000,BagAdaHT,2.647
400000,BagAdaHT,3.027
450000,BagAdaHT,3.498
50000,BagAdaHT,0.311
500000,BagAdaHT,4.019
550000,BagAdaHT,4.394
600000,BagAdaHT,4.798
650000,BagAdaHT,5.198
700000,BagAdaHT,5.542
750000,BagAdaHT,5.938
800000,BagAdaHT,6.615
850000,BagAdaHT,7.026
900000,BagAdaHT,7.436
950000,BagAdaHT,7.765
100000,BagAdwin,0.61
1000000,BagAdwin,4.767
150000,BagAdwin,0.95
200000,BagAdwin,1.159
250000,BagAdwin,1.361
300000,BagAdwin,1.699
350000,BagAdwin,1.905
400000,BagAdwin,2.105
450000,BagAdwin,2.354
50000,BagAdwin,0.372
500000,BagAdwin,2.564
550000,BagAdwin,2.725
600000,BagAdwin,3.039
650000,BagAdwin,3.26
700000,BagAdwin,3.458
750000,BagAdwin,3.742
800000,BagAdwin,3.954
850000,BagAdwin,4.128
900000,BagAdwin,4.381
950000,BagAdwin,4.591
100000,BagASHT,0.437
1000000,BagASHT,4.293
150000,BagASHT,0.672
200000,BagASHT,0.862
250000,BagASHT,1.043
300000,BagASHT,1.303
350000,BagASHT,1.49
400000,BagASHT,1.672
450000,BagASHT,2.02
50000,BagASHT,0.266
500000,BagASHT,2.194
550000,BagASHT,2.359
600000,BagASHT,2.679
650000,BagASHT,2.869
700000,BagASHT,3.039
750000,BagASHT,3.321
800000,BagASHT,3.501
850000,BagASHT,3.681
900000,BagASHT,3.937
950000,BagASHT,4.113
100000,BagHT,0.415
1000000,BagHT,3.709
150000,BagHT,0.695
200000,BagHT,0.883
250000,BagHT,1.074
300000,BagHT,1.328
350000,BagHT,1.476
400000,BagHT,1.624
450000,BagHT,1.931
50000,BagHT,0.252
500000,BagHT,2.071
550000,BagHT,2.19
600000,BagHT,2.42
650000,BagHT,2.57
700000,BagHT,2.714
750000,BagHT,2.972
800000,BagHT,3.123
850000,BagHT,3.273
900000,BagHT,3.469
950000,BagHT,3.589
100000,BagSRHT,0.543
1000000,BagSRHT,13.975
150000,BagSRHT,1.158
200000,BagSRHT,1.467
250000,BagSRHT,1.84
300000,BagSRHT,2.767
350000,BagSRHT,3.518
400000,BagSRHT,4.154
450000,BagSRHT,5.228
50000,BagSRHT,0.362
500000,BagSRHT,6.174
550000,BagSRHT,6.843
600000,BagSRHT,7.599
650000,BagSRHT,8.208
700000,BagSRHT,9.222
750000,BagSRHT,9.817
800000,BagSRHT,10.758
850000,BagSRHT,11.542
900000,BagSRHT,12.834
950000,BagSRHT,13.603
100000,BoostAdaHT,0.58
1000000,BoostAdaHT,7.117
150000,BoostAdaHT,0.94
200000,BoostAdaHT,1.27
250000,BoostAdaHT,1.551
300000,BoostAdaHT,1.93
350000,BoostAdaHT,2.325
400000,BoostAdaHT,2.62
450000,BoostAdaHT,3.011
50000,BoostAdaHT,0.33
500000,BoostAdaHT,3.391
550000,BoostAdaHT,3.709
600000,BoostAdaHT,4.079
650000,BoostAdaHT,4.508
700000,BoostAdaHT,4.848
750000,BoostAdaHT,5.231
800000,BoostAdaHT,5.669
850000,BoostAdaHT,6.008
900000,BoostAdaHT,6.381
950000,BoostAdaHT,6.767
100000,BoostHT,0.465
1000000,BoostHT,3.997
150000,BoostHT,0.704
200000,BoostHT,0.915
250000,BoostHT,1.093
300000,BoostHT,1.323
350000,BoostHT,1.503
400000,BoostHT,1.685
450000,BoostHT,1.896
50000,BoostHT,0.272
500000,BoostHT,2.086
550000,BoostHT,2.276
600000,BoostHT,2.512
650000,BoostHT,2.693
700000,BoostHT,2.853
750000,BoostHT,3.077
800000,BoostHT,3.27
850000,BoostHT,3.43
900000,BoostHT,3.658
950000,BoostHT,3.827
100000,HT,0.17
150000,HT,0.282
200000,HT,0.322
250000,HT,0.352
300000,HT,0.449
350000,HT,0.484
400000,HT,0.534
450000,HT,0.674
50000,HT,0.12
500000,HT,0.714
550000,HT,0.754
600000,HT,0.944
650000,HT,0.984
700000,HT,1.015
750000,HT,1.138
800000,HT,1.168
850000,HT,1.208
900000,HT,1.298
950000,HT,1.328
