X,Algorithm,value
100000,AdaHT,13
150000,AdaHT,19
200000,AdaHT,29
250000,AdaHT,35
300000,AdaHT,43
350000,AdaHT,17
400000,AdaHT,19
450000,AdaHT,31
50000,AdaHT,7
500000,AdaHT,17
550000,AdaHT,23
600000,AdaHT,33
650000,AdaHT,35
700000,AdaHT,38
750000,AdaHT,48
800000,AdaHT,14
850000,AdaHT,24
900000,AdaHT,30
950000,AdaHT,29
100000,ASHT,1
1000000,ASHT,1
150000,ASHT,1
200000,ASHT,1
250000,ASHT,1
300000,ASHT,1
350000,ASHT,1
400000,ASHT,1
450000,ASHT,1
50000,ASHT,1
500000,ASHT,1
550000,ASHT,1
600000,ASHT,1
650000,ASHT,1
700000,ASHT,0
750000,ASHT,1
800000,ASHT,1
850000,ASHT,1
900000,ASHT,1
950000,ASHT,1
100000,BagAdaHT,61
1000000,BagAdaHT,680
150000,BagAdaHT,97
200000,BagAdaHT,133
250000,BagAdaHT,167
300000,BagAdaHT,217
350000,BagAdaHT,246
400000,BagAdaHT,271
450000,BagAdaHT,313
50000,BagAdaHT,31
500000,BagAdaHT,357
550000,BagAdaHT,386
600000,BagAdaHT,410
650000,BagAdaHT,454
700000,BagAdaHT,488
750000,BagAdaHT,524
800000,BagAdaHT,538
850000,BagAdaHT,592
900000,BagAdaHT,612
950000,BagAdaHT,652
100000,BagAdwin,39
1000000,BagAdwin,127
150000,BagAdwin,65
200000,BagAdwin,71
250000,BagAdwin,97
300000,BagAdwin,125
350000,BagAdwin,47
400000,BagAdwin,61
450000,BagAdwin,85
50000,BagAdwin,21
500000,BagAdwin,41
550000,BagAdwin,51
600000,BagAdwin,81
650000,BagAdwin,55
700000,BagAdwin,77
750000,BagAdwin,95
800000,BagAdwin,103
850000,BagAdwin,123
900000,BagAdwin,139
950000,BagAdwin,111
100000,BagASHT,23
1000000,BagASHT,43
150000,BagASHT,27
200000,BagASHT,27
250000,BagASHT,29
300000,BagASHT,45
350000,BagASHT,47
400000,BagASHT,15
450000,BagASHT,21
50000,BagASHT,19
500000,BagASHT,33
550000,BagASHT,27
600000,BagASHT,31
650000,BagASHT,45
700000,BagASHT,23
750000,BagASHT,13
800000,BagASHT,21
850000,BagASHT,29
900000,BagASHT,35
950000,BagASHT,25
100000,BagHT,51
1000000,BagHT,489
150000,BagHT,77
200000,BagHT,101
250000,BagHT,127
300000,BagHT,151
350000,BagHT,163
400000,BagHT,177
450000,BagHT,205
50000,BagHT,17
500000,BagHT,227
550000,BagHT,251
600000,BagHT,273
650000,BagHT,297
700000,BagHT,329
750000,BagHT,353
800000,BagHT,385
850000,BagHT,411
900000,BagHT,447
950000,BagHT,465
100000,BagSRHT,19
1000000,BagSRHT,29
150000,BagSRHT,27
200000,BagSRHT,27
250000,BagSRHT,29
300000,BagSRHT,37
350000,BagSRHT,51
400000,BagSRHT,29
450000,BagSRHT,13
50000,BagSRHT,15
500000,BagSRHT,25
550000,BagSRHT,37
600000,BagSRHT,41
650000,BagSRHT,31
700000,BagSRHT,33
750000,BagSRHT,41
800000,BagSRHT,37
850000,BagSRHT,23
900000,BagSRHT,19
950000,BagSRHT,25
100000,BoostAdaHT,51
1000000,BoostAdaHT,702
150000,BoostAdaHT,87
200000,BoostAdaHT,129
250000,BoostAdaHT,155
300000,BoostAdaHT,187
350000,BoostAdaHT,237
400000,BoostAdaHT,262
450000,BoostAdaHT,300
50000,BoostAdaHT,29
500000,BoostAdaHT,327
550000,BoostAdaHT,361
600000,BoostAdaHT,381
650000,BoostAdaHT,420
700000,BoostAdaHT,460
750000,BoostAdaHT,490
800000,BoostAdaHT,544
850000,BoostAdaHT,590
900000,BoostAdaHT,622
950000,BoostAdaHT,658
100000,BoostHT,39
1000000,BoostHT,477
150000,BoostHT,65
200000,BoostHT,89
250000,BoostHT,109
300000,BoostHT,133
350000,BoostHT,161
400000,BoostHT,179
450000,BoostHT,199
50000,BoostHT,21
500000,BoostHT,231
550000,BoostHT,265
600000,BoostHT,291
650000,BoostHT,331
700000,BoostHT,351
750000,BoostHT,373
800000,BoostHT,401
850000,BoostHT,415
900000,BoostHT,431
950000,BoostHT,463
100000,HT,9
150000,HT,15
200000,HT,19
250000,HT,19
300000,HT,23
350000,HT,27
400000,HT,35
450000,HT,45
50000,HT,5
500000,HT,51
550000,HT,53
600000,HT,57
650000,HT,59
700000,HT,61
750000,HT,65
800000,HT,67
850000,HT,77
900000,HT,79
950000,HT,87
