X,Algorithm,value
0.0,AdaHT,85.83
0.001,AdaHT,84.64
0.01,AdaHT,84.05
0.1,AdaHT,85.66
1.0,AdaHT,80.84
0.01,ASHT,77.77
0.0,BagAdaHT,88.59
0.001,BagAdaHT,90.42
0.01,BagAdaHT,89.29
0.1,BagAdaHT,90.2
1.0,BagAdaHT,84.31
0.0,BagAdwin,83.82
0.001,BagAdwin,87.22
0.01,BagAdwin,88.87
0.1,BagAdwin,82.94
1.0,BagAdwin,84.45
0.0,BagASHT,82.21
0.001,BagASHT,82.4
0.01,BagASHT,81.17
0.1,BagASHT,81.12
1.0,BagASHT,81.3
0.0,BagHT,86.48
0.001,BagHT,90.96
0.01,BagHT,89.7
0.1,BagHT,87.95
1.0,BagHT,83.64
0.0,BagSRHT,74.83
0.001,BagSRHT,75.11
0.01,BagSRHT,74.79
0.1,BagSRHT,76.16
1.0,BagSRHT,72.91
0.0,BoostAdaHT,88.97
0.001,BoostAdaHT,88.89
0.01,BoostAdaHT,91.28
0.1,BoostAdaHT,91.46
1.0,BoostAdaHT,89.52
0.0,BoostHT,90.89
0.001,BoostHT,90.76
0.01,BoostHT,89.64
0.1,BoostHT,90.47
1.0,BoostHT,89.41
0.0,HT,83.59
0.001,HT,87.17
0.01,HT,85.61
0.1,HT,83.51
1.0,HT,81.08
