X,Algorithm,value
0.0,AdaHT,3
0.001,AdaHT,5
0.01,AdaHT,7
0.1,AdaHT,4
1.0,AdaHT,4
0.01,ASHT,0
0.0,BagAdaHT,7.0
0.001,BagAdaHT,5.2
0.01,BagAdaHT,5.0
0.1,BagAdaHT,5.8
1.0,BagAdaHT,4.0
0.0,BagAdwin,5.8
0.001,BagAdwin,4.4
0.01,BagAdwin,5.2
0.1,BagAdwin,5.0
1.0,BagAdwin,3.8
0.0,BagASHT,1.2
0.001,BagASHT,2.2
0.01,BagASHT,1.0
0.1,BagASHT,0.8
1.0,BagASHT,0.8
0.0,BagHT,8.8
0.001,BagHT,10.6
0.01,BagHT,9.2
0.1,BagHT,10.6
1.0,BagHT,10.8
0.0,BagSRHT,1.4
0.001,BagSRHT,1.8
0.01,BagSRHT,1.8
0.1,BagSRHT,1.4
1.0,BagSRHT,1.4
0.0,BoostAdaHT,9.6
0.001,BoostAdaHT,7.2
0.01,BoostAdaHT,9.0
0.1,BoostAdaHT,8.2
1.0,BoostAdaHT,7.4
0.0,BoostHT,0.0
0.001,BoostHT,0.0
0.01,BoostHT,0.0
0.1,BoostHT,0.0
1.0,BoostHT,0.0
0.0,HT,11
0.001,HT,10
0.01,HT,9
0.1,HT,8
1.0,HT,12
