X,Algorithm,value
0.0,AdaHT,71.38
0.001,AdaHT,69.04
0.01,AdaHT,67.48
0.1,AdaHT,70.61
1.0,AdaHT,61.27
0.01,ASHT,54.6
0.0,BagAdaHT,77.17
0.001,BagAdaHT,80.63
0.01,BagAdaHT,78.51
0.1,BagAdaHT,79.82
1.0,BagAdaHT,68.28
0.0,BagAdwin,67.58
0.001,BagAdwin,72.23
0.01,BagAdwin,76.58
0.1,BagAdwin,65.76
1.0,BagAdwin,67.93
0.0,BagASHT,64.33
0.001,BagASHT,64.1
0.01,BagASHT,61.69
0.1,BagASHT,61.01
1.0,BagASHT,61.87
0.0,BagHT,72.33
0.001,BagHT,80.62
0.01,BagHT,79.39
0.1,BagHT,75.86
1.0,BagHT,67.07
0.0,BagSRHT,45.26
0.001,BagSRHT,49.51
0.01,BagSRHT,48.34
0.1,BagSRHT,51.93
1.0,BagSRHT,45.74
0.0,BoostAdaHT,77.38
0.001,BoostAdaHT,77.76
0.01,BoostAdaHT,82.48
0.1,BoostAdaHT,82.81
1.0,BoostAdaHT,78.11
0.0,BoostHT,81.78
0.001,BoostHT,80.93
0.01,BoostHT,79.22
0.1,BoostHT,80.65
1.0,BoostHT,78.82
0.0,HT,67.18
0.001,HT,69.63
0.01,HT,71.04
0.1,HT,66.97
1.0,HT,62.16
