X,Algorithm,value
0.0,AdaHT,50
0.001,AdaHT,112
0.01,AdaHT,238
0.1,AdaHT,99
1.0,AdaHT,59
0.01,ASHT,4
0.0,BagAdaHT,1165
0.001,BagAdaHT,795
0.01,BagAdaHT,537
0.1,BagAdaHT,782
1.0,BagAdaHT,331
0.0,BagAdwin,440
0.001,BagAdwin,447
0.01,BagAdwin,419
0.1,BagAdwin,363
1.0,BagAdwin,251
0.0,BagASHT,90
0.001,BagASHT,153
0.01,BagASHT,76
0.1,BagASHT,55
1.0,BagASHT,48
0.0,BagHT,1539
0.001,BagHT,1714
0.01,BagHT,1805
0.1,BagHT,1700
1.0,BagHT,1861
0.0,BagSRHT,76
0.001,BagSRHT,104
0.01,BagSRHT,111
0.1,BagSRHT,83
1.0,BagSRHT,90
0.0,BoostAdaHT,2095
0.001,BoostAdaHT,987
0.01,BoostAdaHT,1711
0.1,BoostAdaHT,1693
1.0,BoostAdaHT,1027
0.0,BoostHT,1651
0.001,BoostHT,1672
0.01,BoostHT,1490
0.1,BoostHT,1609
1.0,BoostHT,1707
0.0,HT,326
0.001,HT,319
0.01,HT,326
0.1,HT,326
1.0,HT,298
