X,Algorithm,value
0.0,AdaHT,2.657
0.001,AdaHT,2.026
0.01,AdaHT,2.112
0.1,AdaHT,2.138
1.0,AdaHT,1.829
0.01,ASHT,1.213
0.0,BagAdaHT,8.939
0.001,BagAdaHT,8.027
0.01,BagAdaHT,7.456
0.1,BagAdaHT,7.03
1.0,BagAdaHT,7.158
0.0,BagAdwin,4.479
0.001,BagAdwin,4.767
0.01,BagAdwin,4.507
0.1,BagAdwin,4.469
1.0,BagAdwin,4.509
0.0,BagASHT,4.539
0.001,BagASHT,4.293
0.01,BagASHT,3.902
0.1,BagASHT,3.883
1.0,BagASHT,4.212
0.0,BagHT,5.273
0.001,BagHT,3.709
0.01,BagHT,3.538
0.1,BagHT,3.634
1.0,BagHT,3.834
0.0,BagSRHT,14.037
0.001,BagSRHT,13.975
0.01,BagSRHT,13.813
0.1,BagSRHT,14.329
1.0,BagSRHT,13.591
0.0,BoostAdaHT,7.791
0.001,BoostAdaHT,7.117
0.01,BoostAdaHT,7.541
0.1,BoostAdaHT,7.182
1.0,BoostAdaHT,7.384
0.0,BoostHT,4.035
0.001,BoostHT,3.997
0.01,BoostHT,4.158
0.1,BoostHT,4.084
1.0,BoostHT,4.627
0.0,HT,1.754
0.001,HT,1.358
0.01,HT,1.153
0.1,HT,1.114
1.0,HT,1.076
