X,Algorithm,value
0.0,AdaHT,68
0.001,AdaHT,37
0.01,AdaHT,100
0.1,AdaHT,132
1.0,AdaHT,19
0.01,ASHT,1
0.0,BagAdaHT,616
0.001,BagAdaHT,680
0.01,BagAdaHT,608
0.1,BagAdaHT,612
1.0,BagAdaHT,388
0.0,BagAdwin,125
0.001,BagAdwin,127
0.01,BagAdwin,119
0.1,BagAdwin,103
1.0,BagAdwin,71
0.0,BagASHT,25
0.001,BagASHT,43
0.01,BagASHT,21
0.1,BagASHT,15
1.0,BagASHT,13
0.0,BagHT,439
0.001,BagHT,489
0.01,BagHT,515
0.1,BagHT,485
1.0,BagHT,531
0.0,BagSRHT,21
0.001,BagSRHT,29
0.01,BagSRHT,31
0.1,BagSRHT,23
1.0,BagSRHT,25
0.0,BoostAdaHT,575
0.001,BoostAdaHT,702
0.01,BoostAdaHT,798
0.1,BoostAdaHT,702
1.0,BoostAdaHT,576
0.0,BoostHT,471
0.001,BoostHT,477
0.01,BoostHT,425
0.1,BoostHT,459
1.0,BoostHT,487
0.0,HT,93
0.001,HT,91
0.01,HT,93
0.1,HT,93
1.0,HT,85
