X,Algorithm,value
100000,AdaHT,65.44
150000,AdaHT,66.26
200000,AdaHT,65.67
250000,AdaHT,66.35
300000,AdaHT,67.01
350000,AdaHT,66.79
400000,AdaHT,68.02
450000,AdaHT,65.89
50000,AdaHT,65.79
500000,AdaHT,66.06
550000,AdaHT,65.83
600000,AdaHT,65.22
650000,AdaHT,66.86
700000,AdaHT,65.39
750000,AdaHT,65.09
800000,AdaHT,66.7
850000,AdaHT,66.48
900000,AdaHT,65.89
950000,AdaHT,67.6
100000,ASHT,54.38
1000000,ASHT,54.92
150000,ASHT,55.17
200000,ASHT,54.82
250000,ASHT,54.49
300000,ASHT,54.22
350000,ASHT,54.62
400000,ASHT,55.5
450000,ASHT,55.13
50000,ASHT,54.95
500000,ASHT,55.3
550000,ASHT,54.88
600000,ASHT,55.33
650000,ASHT,54.48
700000,ASHT,55.21
750000,ASHT,54.86
800000,ASHT,54.69
850000,ASHT,54.5
900000,ASHT,54.88
950000,ASHT,54.62
100000,BagAdaHT,69.88
1000000,BagAdaHT,70.27
150000,BagAdaHT,70.78
200000,BagAdaHT,70.95
250000,BagAdaHT,72.28
300000,BagAdaHT,71.32
350000,BagAdaHT,72.96
400000,BagAdaHT,71.58
450000,BagAdaHT,71.51
50000,BagAdaHT,69.88
500000,BagAdaHT,71.39
550000,BagAdaHT,70.49
600000,BagAdaHT,70.85
650000,BagAdaHT,71.63
700000,BagAdaHT,69.52
750000,BagAdaHT,70.74
800000,BagAdaHT,70.74
850000,BagAdaHT,70.55
900000,BagAdaHT,70.37
950000,BagAdaHT,70.51
100000,BagAdwin,67.13
1000000,BagAdwin,68.23
150000,BagAdwin,68.48
200000,BagAdwin,67.82
250000,BagAdwin,67.97
300000,BagAdwin,68.4
350000,BagAdwin,69.16
400000,BagAdwin,69.08
450000,BagAdwin,67.82
50000,BagAdwin,68.03
500000,BagAdwin,68.17
550000,BagAdwin,66.41
600000,BagAdwin,66.78
650000,BagAdwin,68.36
700000,BagAdwin,67.59
750000,BagAdwin,66.84
800000,BagAdwin,67.05
850000,BagAdwin,66.8
900000,BagAdwin,67.24
950000,BagAdwin,68.02
100000,BagASHT,67.76
1000000,BagASHT,68.18
150000,BagASHT,68.16
200000,BagASHT,68.26
250000,BagASHT,67.96
300000,BagASHT,69.1
350000,BagASHT,69.38
400000,BagASHT,69.58
450000,BagASHT,68.81
50000,BagASHT,68.31
500000,BagASHT,68.54
550000,BagASHT,67.62
600000,BagASHT,67.42
650000,BagASHT,68.84
700000,BagASHT,67.75
750000,BagASHT,67.66
800000,BagASHT,68.1
850000,BagASHT,67.36
900000,BagASHT,67.74
950000,BagASHT,68.9
100000,BagHT,64.06
1000000,BagHT,59.84
150000,BagHT,63.15
200000,BagHT,63.12
250000,BagHT,63.34
300000,BagHT,62.44
350000,BagHT,62.29
400000,BagHT,61.78
450000,BagHT,60.78
50000,BagHT,66.36
500000,BagHT,60.74
550000,BagHT,60.91
600000,BagHT,60.86
650000,BagHT,61.16
700000,BagHT,60.68
750000,BagHT,60.26
800000,BagHT,59.66
850000,BagHT,60.16
900000,BagHT,59.82
950000,BagHT,60.5
100000,BagSRHT,68.78
1000000,BagSRHT,69.93
150000,BagSRHT,70.21
200000,BagSRHT,69.61
250000,BagSRHT,70.24
300000,BagSRHT,70.62
350000,BagSRHT,70.85
400000,BagSRHT,71.34
450000,BagSRHT,70.41
50000,BagSRHT,68.91
500000,BagSRHT,70.24
550000,BagSRHT,69.83
600000,BagSRHT,70.24
650000,BagSRHT,70.52
700000,BagSRHT,69.02
750000,BagSRHT,69.4
800000,BagSRHT,69.52
850000,BagSRHT,69.96
900000,BagSRHT,69.72
950000,BagSRHT,69.82
100000,BoostAdaHT,72.89
1000000,BoostAdaHT,73.89
150000,BoostAdaHT,74.12
200000,BoostAdaHT,73.95
250000,BoostAdaHT,73.46
300000,BoostAdaHT,74.7
350000,BoostAdaHT,74.17
400000,BoostAdaHT,74.87
450000,BoostAdaHT,74.24
50000,BoostAdaHT,72.84
500000,BoostAdaHT,73.6
550000,BoostAdaHT,73.56
600000,BoostAdaHT,73.49
650000,BoostAdaHT,73.89
700000,BoostAdaHT,73.05
750000,BoostAdaHT,73.01
800000,BoostAdaHT,73.74
850000,BoostAdaHT,72.83
900000,BoostAdaHT,73.16
950000,BoostAdaHT,73.77
100000,BoostHT,66.6
1000000,BoostHT,59.51
150000,BoostHT,65.47
200000,BoostHT,64.39
250000,BoostHT,63.69
300000,BoostHT,63.6
350000,BoostHT,62.83
400000,BoostHT,62.95
450000,BoostHT,61.78
50000,BoostHT,71.01
500000,BoostHT,61.3
550000,BoostHT,61.49
600000,BoostHT,61.82
650000,BoostHT,61.21
700000,BoostHT,60.18
750000,BoostHT,60.68
800000,BoostHT,61.33
850000,BoostHT,60.99
900000,BoostHT,59.84
950000,BoostHT,60.19
100000,HT,59.69
150000,HT,59.0
200000,HT,58.23
250000,HT,58.75
300000,HT,57.9
350000,HT,56.43
400000,HT,57.95
450000,HT,56.67
50000,HT,62.95
500000,HT,57.53
550000,HT,56.68
600000,HT,57.21
650000,HT,57.07
700000,HT,57.43
750000,HT,56.65
800000,HT,56.18
850000,HT,56.47
900000,HT,57.17
950000,HT,56.92
