X,Algorithm,value
0.0,AdaHT,4766
0.001,AdaHT,5
0.01,AdaHT,68
0.1,AdaHT,4313
1.0,AdaHT,4428
0.01,ASHT,4
0.0,BagAdaHT,4880
0.001,BagAdaHT,186
0.01,BagAdaHT,8422
0.1,BagAdaHT,17362
1.0,BagAdaHT,22763
0.0,BagAdwin,2916
0.001,BagAdwin,20
0.01,BagAdwin,34
0.1,BagAdwin,11178
1.0,BagAdwin,12452
0.0,BagASHT,4
0.001,BagASHT,55
0.01,BagASHT,97
0.1,BagASHT,125
1.0,BagASHT,90
0.0,BagHT,2916
0.001,BagHT,12879
0.01,BagHT,12697
0.1,BagHT,12347
1.0,BagHT,12452
0.0,BagSRHT,4
0.001,BagSRHT,125
0.01,BagSRHT,125
0.1,BagSRHT,48
1.0,BagSRHT,132
0.0,BoostAdaHT,4880
0.001,BoostAdaHT,253
0.01,BoostAdaHT,13744
0.1,BoostAdaHT,22198
1.0,BoostAdaHT,22570
0.0,BoostHT,2916
0.001,BoostHT,12655
0.01,BoostHT,12718
0.1,BoostHT,12403
1.0,BoostHT,12368
0.0,HT,2783
0.001,HT,2531
0.01,HT,2538
0.1,HT,2447
1.0,HT,2489
