X,Algorithm,value
1600,AdaHT,18
200,AdaHT,68
3200,AdaHT,257
400,AdaHT,149
800,AdaHT,400
200,ASHT,4
1600,BagAdaHT,7314
200,BagAdaHT,8422
3200,BagAdaHT,5699
400,BagAdaHT,10899
800,BagAdaHT,8103
1600,BagAdwin,20
200,BagAdwin,34
3200,BagAdwin,20
400,BagAdwin,20
800,BagAdwin,48
1600,BagASHT,97
200,BagASHT,97
3200,BagASHT,97
400,BagASHT,97
800,BagASHT,97
1600,BagHT,10058
200,BagHT,12697
3200,BagHT,8133
400,BagHT,12389
800,BagHT,11479
1600,BagSRHT,132
200,BagSRHT,125
3200,BagSRHT,90
400,BagSRHT,76
800,BagSRHT,97
1600,BoostAdaHT,7529
200,BoostAdaHT,13744
3200,BoostAdaHT,6688
400,BoostAdaHT,6936
800,BoostAdaHT,9445
1600,BoostHT,10030
200,BoostHT,12718
3200,BoostHT,8147
400,BoostHT,12340
800,BoostHT,11507
1600,HT,1992
200,HT,2538
3200,HT,1649
400,HT,2426
800,HT,2286
