X,Algorithm,value
1600,AdaHT,45
200,AdaHT,772
3200,AdaHT,165
400,AdaHT,223
800,AdaHT,311
200,ASHT,1
1600,BagAdaHT,2362
200,BagAdaHT,4277
3200,BagAdaHT,2272
400,BagAdaHT,3513
800,BagAdaHT,3180
1600,BagAdwin,5
200,BagAdwin,9
3200,BagAdwin,5
400,BagAdwin,5
800,BagAdwin,13
1600,BagASHT,27
200,BagASHT,27
3200,BagASHT,27
400,BagASHT,27
800,BagASHT,27
1600,BagHT,2873
200,BagHT,3627
3200,BagHT,2323
400,BagHT,3539
800,BagHT,3279
1600,BagSRHT,37
200,BagSRHT,35
3200,BagSRHT,25
400,BagSRHT,21
800,BagSRHT,27
1600,BoostAdaHT,2711
200,BoostAdaHT,3576
3200,BoostAdaHT,2202
400,BoostAdaHT,2929
800,BoostAdaHT,2852
1600,BoostHT,2865
200,BoostHT,3633
3200,BoostHT,2327
400,BoostHT,3525
800,BoostHT,3287
1600,HT,569
200,HT,725
3200,HT,471
400,HT,693
800,HT,653
