X,Algorithm,value
100,AdaHT,5
150,AdaHT,5
200,AdaHT,5
250,AdaHT,5
50,AdaHT,5
100,ASHT,0
100,BagAdaHT,14.2
150,BagAdaHT,14.2
200,BagAdaHT,14.2
250,BagAdaHT,14.2
50,BagAdaHT,14.2
100,BagAdwin,0.4
150,BagAdwin,0.4
200,BagAdwin,0.4
250,BagAdwin,0.4
50,BagAdwin,0.4
100,BagASHT,2.2
150,BagASHT,2.2
200,BagASHT,2.2
250,BagASHT,2.2
50,BagASHT,2.2
100,BagHT,18.4
150,BagHT,18.4
200,BagHT,18.4
250,BagHT,18.4
50,BagHT,18.4
100,BagSRHT,2.2
150,BagSRHT,2.2
200,BagSRHT,2.2
250,BagSRHT,2.2
50,BagSRHT,2.2
100,BoostAdaHT,16.2
150,BoostAdaHT,16.2
200,BoostAdaHT,16.2
250,BoostAdaHT,16.2
50,BoostAdaHT,16.2
100,BoostHT,0.0
150,BoostHT,0.0
200,BoostHT,0.0
250,BoostHT,0.0
50,BoostHT,0.0
100,HT,19
150,HT,19
200,HT,19
250,HT,19
50,HT,19
