X,Algorithm,value
100,AdaHT,68
150,AdaHT,68
200,AdaHT,68
250,AdaHT,68
50,AdaHT,68
100,ASHT,4
100,BagAdaHT,8422
150,BagAdaHT,8422
200,BagAdaHT,8422
250,BagAdaHT,8422
50,BagAdaHT,8422
100,BagAdwin,34
150,BagAdwin,34
200,BagAdwin,34
250,BagAdwin,34
50,BagAdwin,34
100,BagASHT,97
150,BagASHT,97
200,BagASHT,97
250,BagASHT,97
50,BagASHT,97
100,BagHT,12697
150,BagHT,12697
200,BagHT,12697
250,BagHT,12697
50,BagHT,12697
100,BagSRHT,125
150,BagSRHT,125
200,BagSRHT,125
250,BagSRHT,125
50,BagSRHT,125
100,BoostAdaHT,13744
150,BoostAdaHT,13744
200,BoostAdaHT,13744
250,BoostAdaHT,13744
50,BoostAdaHT,13744
100,BoostHT,12718
150,BoostHT,12718
200,BoostHT,12718
250,BoostHT,12718
50,BoostHT,12718
100,HT,2538
150,HT,2538
200,HT,2538
250,HT,2538
50,HT,2538
