X,Algorithm,value
100,AdaHT,25.722
150,AdaHT,25.546
200,AdaHT,25.745
250,AdaHT,25.477
50,AdaHT,25.63
100,ASHT,7.918
100,BagAdaHT,99.855
150,BagAdaHT,98.46
200,BagAdaHT,99.268
250,BagAdaHT,103.444
50,BagAdaHT,100.411
100,BagAdwin,44.853
150,BagAdwin,46.723
200,BagAdwin,44.91
250,BagAdwin,44.749
50,BagAdwin,44.768
100,BagASHT,38.795
150,BagASHT,35.843
200,BagASHT,36.077
250,BagASHT,35.662
50,BagASHT,37.648
100,BagHT,29.05
150,BagHT,28.067
200,BagHT,28.788
250,BagHT,28.104
50,BagHT,28.62
100,BagSRHT,157.93
150,BagSRHT,158.581
200,BagSRHT,158.381
250,BagSRHT,158.036
50,BagSRHT,158.361
100,BoostAdaHT,107.62
150,BoostAdaHT,109.922
200,BoostAdaHT,108.464
250,BoostAdaHT,108.851
50,BoostAdaHT,109.885
100,BoostHT,42.685
150,BoostHT,40.626
200,BoostHT,40.338
250,BoostHT,40.241
50,BoostHT,40.722
100,HT,8.29
150,HT,8.036
200,HT,7.911
250,HT,7.99
50,HT,7.971
