X,Algorithm,value
100,AdaHT,53.48
20,AdaHT,81.93
40,AdaHT,62.43
50,AdaHT,53.48
60,AdaHT,53.48
80,AdaHT,53.48
100,ASHT,54.85
100,BagAdaHT,54.34
20,BagAdaHT,83.92
40,BagAdaHT,63.4
50,BagAdaHT,54.34
60,BagAdaHT,54.34
80,BagAdaHT,54.34
100,BagAdwin,56.83
20,BagAdwin,83.78
40,BagAdwin,63.51
50,BagAdwin,56.83
60,BagAdwin,56.83
80,BagAdwin,56.83
100,BagASHT,56.53
20,BagASHT,73.13
40,BagASHT,63.03
50,BagASHT,56.53
60,BagASHT,56.53
80,BagASHT,56.53
100,BagHT,54.05
20,BagHT,83.84
40,BagHT,63.31
50,BagHT,54.05
60,BagHT,54.05
80,BagHT,54.05
100,BagSRHT,57.51
20,BagSRHT,74.42
40,BagSRHT,63.67
50,BagSRHT,57.51
60,BagSRHT,57.51
80,BagSRHT,57.51
100,BoostAdaHT,53.73
20,BoostAdaHT,82.13
40,BoostAdaHT,62.21
50,BoostAdaHT,53.73
60,BoostAdaHT,53.73
80,BoostAdaHT,53.73
100,BoostHT,53.22
20,BoostHT,82.47
40,BoostHT,62.21
50,BoostHT,53.22
60,BoostHT,53.22
80,BoostHT,53.22
100,HT,53.15
20,HT,81.03
40,HT,62.53
50,HT,53.15
60,HT,53.15
80,HT,53.15
