X,Algorithm,value
100,AdaHT,5
20,AdaHT,26
40,AdaHT,18
50,AdaHT,5
60,AdaHT,5
80,AdaHT,5
100,ASHT,0
100,BagAdaHT,14.2
20,BagAdaHT,30.0
40,BagAdaHT,22.2
50,BagAdaHT,14.2
60,BagAdaHT,14.2
80,BagAdaHT,14.2
100,BagAdwin,0.4
20,BagAdwin,26.8
40,BagAdwin,18.4
50,BagAdwin,0.4
60,BagAdwin,0.4
80,BagAdwin,0.4
100,BagASHT,2.2
20,BagASHT,2.8
40,BagASHT,1.8
50,BagASHT,2.2
60,BagASHT,2.2
80,BagASHT,2.2
100,BagHT,18.4
20,BagHT,26.8
40,BagHT,25.0
50,BagHT,18.4
60,BagHT,18.4
80,BagHT,18.4
100,BagSRHT,2.2
20,BagSRHT,2.4
40,BagSRHT,2.0
50,BagSRHT,2.2
60,BagSRHT,2.2
80,BagSRHT,2.2
100,BoostAdaHT,16.2
20,BoostAdaHT,26.8
40,BoostAdaHT,19.2
50,BoostAdaHT,16.2
60,BoostAdaHT,16.2
80,BoostAdaHT,16.2
100,BoostHT,0.0
20,BoostHT,0.0
40,BoostHT,0.0
50,BoostHT,0.0
60,BoostHT,0.0
80,BoostHT,0.0
100,HT,19
20,HT,28
40,HT,25
50,HT,19
60,HT,19
80,HT,19
