X,Algorithm,value
100,AdaHT,68
20,AdaHT,4531
40,AdaHT,3018
50,AdaHT,68
60,AdaHT,68
80,AdaHT,68
100,ASHT,4
100,BagAdaHT,8422
20,BagAdaHT,23644
40,BagAdaHT,16281
50,BagAdaHT,8422
60,BagAdaHT,8422
80,BagAdaHT,8422
100,BagAdwin,34
20,BagAdwin,12802
40,BagAdwin,6236
50,BagAdwin,34
60,BagAdwin,34
80,BagAdwin,34
100,BagASHT,97
20,BagASHT,160
40,BagASHT,97
50,BagASHT,97
60,BagASHT,97
80,BagASHT,97
100,BagHT,12697
20,BagHT,13411
40,BagHT,12928
50,BagHT,12697
60,BagHT,12697
80,BagHT,12697
100,BagSRHT,125
20,BagSRHT,111
40,BagSRHT,160
50,BagSRHT,125
60,BagSRHT,125
80,BagSRHT,125
100,BoostAdaHT,13744
20,BoostAdaHT,19173
40,BoostAdaHT,14078
50,BoostAdaHT,13744
60,BoostAdaHT,13744
80,BoostAdaHT,13744
100,BoostHT,12718
20,BoostHT,13334
40,BoostHT,12991
50,BoostHT,12718
60,BoostHT,12718
80,BoostHT,12718
100,HT,2538
20,HT,2678
40,HT,2517
50,HT,2538
60,HT,2538
80,HT,2538
