X,Algorithm,value
0.001,AdaHT,53.19
0.005,AdaHT,53.2
0.01,AdaHT,53.15
0.05,AdaHT,53.48
0.1,AdaHT,54.51
0.05000000074505806,ASHT,54.85
0.001,BagAdaHT,53.2
0.005,BagAdaHT,53.33
0.01,BagAdaHT,53.56
0.05,BagAdaHT,54.34
0.1,BagAdaHT,54.63
0.001,BagAdwin,54.87
0.005,BagAdwin,54.87
0.01,BagAdwin,54.87
0.05,BagAdwin,56.83
0.1,BagAdwin,58.97
0.001,BagASHT,56.53
0.005,BagASHT,56.53
0.01,BagASHT,56.53
0.05,BagASHT,56.53
0.1,BagASHT,56.53
0.001,BagHT,53.2
0.005,BagHT,53.31
0.01,BagHT,53.58
0.05,BagHT,54.05
0.1,BagHT,54.19
0.001,BagSRHT,53.2
0.005,BagSRHT,53.32
0.01,BagSRHT,53.59
0.05,BagSRHT,57.51
0.1,BagSRHT,60.77
0.001,BoostAdaHT,53.15
0.005,BoostAdaHT,53.25
0.01,BoostAdaHT,53.4
0.05,BoostAdaHT,53.73
0.1,BoostAdaHT,54.54
0.001,BoostHT,53.16
0.005,BoostHT,53.24
0.01,BoostHT,53.45
0.05,BoostHT,53.22
0.1,BoostHT,53.39
0.001,HT,53.2
0.005,HT,53.28
0.01,HT,52.98
0.05,HT,53.15
0.1,HT,53.16
