X,Algorithm,value
0.001,AdaHT,0
0.005,AdaHT,0
0.01,AdaHT,1
0.05,AdaHT,5
0.1,AdaHT,20
0.05000000074505806,ASHT,0
0.001,BagAdaHT,0.0
0.005,BagAdaHT,3.2
0.01,BagAdaHT,4.0
0.05,BagAdaHT,14.2
0.1,BagAdaHT,20.8
0.001,BagAdwin,0.0
0.005,BagAdwin,0.0
0.01,BagAdwin,0.0
0.05,BagAdwin,0.4
0.1,BagAdwin,1.0
0.001,BagASHT,2.2
0.005,BagASHT,2.2
0.01,BagASHT,2.2
0.05,BagASHT,2.2
0.1,BagASHT,2.2
0.001,BagHT,0.0
0.005,BagHT,4.0
0.01,BagHT,9.2
0.05,BagHT,18.4
0.1,BagHT,28.8
0.001,BagSRHT,0.0
0.005,BagSRHT,1.6
0.01,BagSRHT,0.8
0.05,BagSRHT,2.2
0.1,BagSRHT,2.4
0.001,BoostAdaHT,0.0
0.005,BoostAdaHT,1.8
0.01,BoostAdaHT,3.4
0.05,BoostAdaHT,16.2
0.1,BoostAdaHT,17.6
0.001,BoostHT,0.0
0.005,BoostHT,0.0
0.01,BoostHT,0.0
0.05,BoostHT,0.0
0.1,BoostHT,0.0
0.001,HT,0
0.005,HT,4
0.01,HT,10
0.05,HT,19
0.1,HT,22
