X,Algorithm,value
0.001,AdaHT,6.49
0.005,AdaHT,6.5
0.01,AdaHT,6.39
0.05,AdaHT,6.97
0.1,AdaHT,9.02
0.05000000074505806,ASHT,9.73
0.001,BagAdaHT,6.5
0.005,BagAdaHT,6.75
0.01,BagAdaHT,7.21
0.05,BagAdaHT,8.71
0.1,BagAdaHT,9.26
0.001,BagAdwin,9.8
0.005,BagAdwin,9.8
0.01,BagAdwin,9.8
0.05,BagAdwin,13.69
0.1,BagAdwin,17.95
0.001,BagASHT,13.09
0.005,BagASHT,13.09
0.01,BagASHT,13.09
0.05,BagASHT,13.09
0.1,BagASHT,13.09
0.001,BagHT,6.5
0.005,BagHT,6.72
0.01,BagHT,7.24
0.05,BagHT,8.13
0.1,BagHT,8.38
0.001,BagSRHT,6.5
0.005,BagSRHT,6.73
0.01,BagSRHT,7.28
0.05,BagSRHT,15.06
0.1,BagSRHT,21.56
0.001,BoostAdaHT,6.39
0.005,BoostAdaHT,6.58
0.01,BoostAdaHT,6.86
0.05,BoostAdaHT,7.46
0.1,BoostAdaHT,9.07
0.001,BoostHT,6.4
0.005,BoostHT,6.56
0.01,BoostHT,6.96
0.05,BoostHT,6.44
0.1,BoostHT,6.77
0.001,HT,6.51
0.005,HT,6.64
0.01,HT,6.06
0.05,HT,6.34
0.1,HT,6.33
