X,Algorithm,value
0.001,AdaHT,10.549
0.005,AdaHT,10.654
0.01,AdaHT,14.329
0.05,AdaHT,25.722
0.1,AdaHT,27.906
0.05000000074505806,ASHT,7.918
0.001,BagAdaHT,40.765
0.005,BagAdaHT,52.192
0.01,BagAdaHT,65.756
0.05,BagAdaHT,99.855
0.1,BagAdaHT,157.656
0.001,BagAdwin,44.318
0.005,BagAdwin,42.925
0.01,BagAdwin,43.072
0.05,BagAdwin,44.853
0.1,BagAdwin,49.69
0.001,BagASHT,36.526
0.005,BagASHT,36.244
0.01,BagASHT,36.458
0.05,BagASHT,38.795
0.1,BagASHT,37.039
0.001,BagHT,27.009
0.005,BagHT,26.914
0.01,BagHT,25.682
0.05,BagHT,29.05
0.1,BagHT,37.336
0.001,BagSRHT,35.051
0.005,BagSRHT,35.348
0.01,BagSRHT,56.612
0.05,BagSRHT,157.93
0.1,BagSRHT,351.39
0.001,BoostAdaHT,38.942
0.005,BoostAdaHT,45.605
0.01,BoostAdaHT,61.095
0.05,BoostAdaHT,107.62
0.1,BoostAdaHT,143.559
0.001,BoostHT,28.908
0.005,BoostHT,31.473
0.01,BoostHT,38.351
0.05,BoostHT,42.685
0.1,BoostHT,53.198
0.001,HT,7.57
0.005,HT,7.329
0.01,HT,7.377
0.05,HT,8.29
0.1,HT,9.521
