X,Algorithm,value
0,AdaHT,27
0,ASHT,0
1,BagAdaHT,30.0
10,BagAdaHT,26.1
2,BagAdaHT,26.5
3,BagAdaHT,28.0
4,BagAdaHT,27.5
5,BagAdaHT,26.8
6,BagAdaHT,27.83
7,BagAdaHT,27.71
8,BagAdaHT,27.0
9,BagAdaHT,27.44
1,BagAdwin,25.0
10,BagAdwin,25.2
2,BagAdwin,25.0
3,BagAdwin,25.67
4,BagAdwin,24.25
5,BagAdwin,26.0
6,BagAdwin,27.0
7,BagAdwin,26.43
8,BagAdwin,26.5
9,BagAdwin,25.33
0,BagASHT,0.0
1,BagHT,25.0
10,BagHT,25.2
2,BagHT,25.0
3,BagHT,25.67
4,BagHT,24.25
5,BagHT,26.0
6,BagHT,27.0
7,BagHT,26.43
8,BagHT,26.5
9,BagHT,25.33
0,BagSRHT,0.0
1,BoostAdaHT,30.0
10,BoostAdaHT,19.9
2,BoostAdaHT,26.0
3,BoostAdaHT,25.33
4,BoostAdaHT,23.5
5,BoostAdaHT,23.0
6,BoostAdaHT,23.0
7,BoostAdaHT,21.43
8,BoostAdaHT,20.63
9,BoostAdaHT,18.89
1,BoostHT,0.0
10,BoostHT,0.0
2,BoostHT,0.0
3,BoostHT,0.0
4,BoostHT,0.0
5,BoostHT,0.0
6,BoostHT,0.0
7,BoostHT,0.0
8,BoostHT,0.0
9,BoostHT,0.0
0,HT,27
