X,Algorithm,value
0,AdaHT,81.85
0,ASHT,9.73
1,BagAdaHT,83.1
10,BagAdaHT,88.29
2,BagAdaHT,85.63
3,BagAdaHT,86.24
4,BagAdaHT,87.38
5,BagAdaHT,87.21
6,BagAdaHT,88.05
7,BagAdaHT,88.34
8,BagAdaHT,88.57
9,BagAdaHT,88.6
1,BagAdwin,82.05
10,BagAdwin,87.65
2,BagAdwin,84.82
3,BagAdwin,85.23
4,BagAdwin,86.35
5,BagAdwin,86.29
6,BagAdwin,86.88
7,BagAdwin,86.77
8,BagAdwin,86.99
9,BagAdwin,88.03
0,BagASHT,41.54
1,BagHT,82.05
10,BagHT,87.65
2,BagHT,84.82
3,BagHT,85.23
4,BagHT,86.35
5,BagHT,86.29
6,BagHT,86.88
7,BagHT,86.77
8,BagHT,86.99
9,BagHT,88.03
0,BagSRHT,43.79
1,BoostAdaHT,83.1
10,BoostAdaHT,87.42
2,BoostAdaHT,84.9
3,BoostAdaHT,86.0
4,BoostAdaHT,86.42
5,BoostAdaHT,86.89
6,BoostAdaHT,86.66
7,BoostAdaHT,87.38
8,BoostAdaHT,87.44
9,BoostAdaHT,87.31
1,BoostHT,82.05
10,BoostHT,87.63
2,BoostHT,84.19
3,BoostHT,85.28
4,BoostHT,85.75
5,BoostHT,86.55
6,BoostHT,86.95
7,BoostHT,87.02
8,BoostHT,87.41
9,BoostHT,87.46
0,HT,82.09
