X,Algorithm,value
0,AdaHT,4766
0,ASHT,4
1,BagAdaHT,4880
10,BagAdaHT,49002
2,BagAdaHT,9453
3,BagAdaHT,14910
4,BagAdaHT,19317
5,BagAdaHT,24805
6,BagAdaHT,28937
7,BagAdaHT,33805
8,BagAdaHT,38469
9,BagAdaHT,44298
1,BagAdwin,2916
10,BagAdwin,28327
2,BagAdwin,5713
3,BagAdwin,8720
4,BagAdwin,11377
5,BagAdwin,14454
6,BagAdwin,17153
7,BagAdwin,20076
8,BagAdwin,22887
9,BagAdwin,25873
0,BagASHT,4
1,BagHT,2916
10,BagHT,28327
2,BagHT,5713
3,BagHT,8720
4,BagHT,11377
5,BagHT,14454
6,BagHT,17153
7,BagHT,20076
8,BagHT,22887
9,BagHT,25873
0,BagSRHT,4
1,BoostAdaHT,4880
10,BoostAdaHT,43249
2,BoostAdaHT,10290
3,BoostAdaHT,15449
4,BoostAdaHT,18180
5,BoostAdaHT,24100
6,BoostAdaHT,27443
7,BoostAdaHT,32770
8,BoostAdaHT,33908
9,BoostAdaHT,34970
1,BoostHT,2916
10,BoostHT,33178
2,BoostHT,5685
3,BoostHT,8818
4,BoostHT,12161
5,BoostHT,15889
6,BoostHT,19386
7,BoostHT,22694
8,BoostHT,25974
9,BoostHT,29506
0,HT,2783
