X,Algorithm,value
0,AdaHT,29.71
0,ASHT,7.918
1,BagAdaHT,24.806
10,BagAdaHT,222.505
2,BagAdaHT,45.489
3,BagAdaHT,66.799
4,BagAdaHT,88.101
5,BagAdaHT,113.304
6,BagAdaHT,135.116
7,BagAdaHT,159.923
8,BagAdaHT,183.588
9,BagAdaHT,205.091
1,BagAdwin,8.701
10,BagAdwin,84.085
2,BagAdwin,16.757
3,BagAdwin,23.564
4,BagAdwin,32.216
5,BagAdwin,39.897
6,BagAdwin,49.857
7,BagAdwin,59.467
8,BagAdwin,65.204
9,BagAdwin,73.788
0,BagASHT,10.064
1,BagHT,7.101
10,BagHT,52.318
2,BagHT,12.39
3,BagHT,15.7
4,BagHT,20.275
5,BagHT,25.342
6,BagHT,31.181
7,BagHT,36.514
8,BagHT,45.098
9,BagHT,47.427
0,BagSRHT,93.555
1,BoostAdaHT,23.327
10,BoostAdaHT,155.422
2,BoostAdaHT,43.64
3,BoostAdaHT,63.867
4,BoostAdaHT,77.295
5,BoostAdaHT,90.914
6,BoostAdaHT,107.128
7,BoostAdaHT,121.728
8,BoostAdaHT,129.403
9,BoostAdaHT,146.492
1,BoostHT,7.946
10,BoostHT,71.701
2,BoostHT,14.339
3,BoostHT,21.045
4,BoostHT,29.824
5,BoostHT,34.498
6,BoostHT,41.35
7,BoostHT,49.056
8,BoostHT,57.168
9,BoostHT,68.411
0,HT,8.231
