X,Algorithm,value
0,AdaHT,1058
0,ASHT,1
1,BagAdaHT,1085
10,BagAdaHT,10898
2,BagAdaHT,2102
3,BagAdaHT,3315
4,BagAdaHT,4296
5,BagAdaHT,5517
6,BagAdaHT,6436
7,BagAdaHT,7573
8,BagAdaHT,8555
9,BagAdaHT,9851
1,BagAdwin,833
10,BagAdwin,8092
2,BagAdwin,1632
3,BagAdwin,2491
4,BagAdwin,3250
5,BagAdwin,4129
6,BagAdwin,4900
7,BagAdwin,5735
8,BagAdwin,6538
9,BagAdwin,7391
0,BagASHT,1
1,BagHT,833
10,BagHT,8092
2,BagHT,1632
3,BagHT,2491
4,BagHT,3250
5,BagHT,4129
6,BagHT,4900
7,BagHT,5735
8,BagHT,6538
9,BagHT,7391
0,BagSRHT,1
1,BoostAdaHT,1085
10,BoostAdaHT,14896
2,BoostAdaHT,2288
3,BoostAdaHT,3690
4,BoostAdaHT,5342
5,BoostAdaHT,7181
6,BoostAdaHT,8650
7,BoostAdaHT,10275
8,BoostAdaHT,11706
9,BoostAdaHT,13662
1,BoostHT,833
10,BoostHT,9478
2,BoostHT,1624
3,BoostHT,2519
4,BoostHT,3474
5,BoostHT,4539
6,BoostHT,5538
7,BoostHT,6483
8,BoostHT,7420
9,BoostHT,8429
0,HT,795
