@relation 'adultset'

@attribute AGE numeric
@attribute WORKCLASS {Govt,SelfEmployed,Private,NoIncome}
@attribute EDUCATION numeric
@attribute MARITALSTATUS {Never,Married,Others}
@attribute OCCUPATION {Exec-managerial,Prof-speciality,Protective-serv,Adm-clerical,Tech-support,Sales,Craft-repair,Handlers-cleaners,Other-service,Transport-moving,Farming-fishing,Machine-op-inspct}
@attribute SEX {Male,Female}
@attribute HOURSPERWEEK numeric
@attribute INCOME {<=50K,>50K}

@data
40,Govt,13,Never,Adm-clerical,Male,40,<=50K
50,SelfEmployed,13,Married,Exec-managerial,Male,10,<=50K
40,Private,9,Others,Handlers-cleaners,Male,40,<=50K
55,Private,8,Married,Handlers-cleaners,Male,40,<=50K
30,Private,13,Married,Prof-speciality,Female,40,<=50K
35,Private,14,Married,Exec-managerial,Female,40,<=50K
50,Private,8,Others,Other-service,Female,20,<=50K
50,SelfEmployed,9,Married,Exec-managerial,Male,40,>50K
30,Private,14,Never,Prof-speciality,Female,50,>50K
40,Private,13,Married,Exec-managerial,Male,40,>50K
35,Private,10,Married,Exec-managerial,Male,70,>50K
30,Govt,13,Married,Prof-speciality,Male,40,>50K
25,Private,13,Never,Adm-clerical,Female,30,<=50K
30,Private,12,Never,Sales,Male,50,<=50K
40,Private,12,Married,Craft-repair,Male,40,>50K
35,Private,4,Married,Transport-moving,Male,40,<=50K
25,SelfEmployed,9,Never,Farming-fishing,Male,30,<=50K
30,Private,9,Never,Machine-op-inspct,Male,40,<=50K
40,Private,8,Married,Sales,Male,50,<=50K
45,SelfEmployed,14,Others,Exec-managerial,Female,40,>50K
40,Private,16,Married,Prof-speciality,Male,60,>50K
55,Private,9,Others,Other-service,Female,20,<=50K
35,Govt,8,Married,Farming-fishing,Male,40,<=50K
45,Private,8,Married,Transport-moving,Male,40,<=50K
60,Private,9,Others,Tech-support,Female,40,<=50K
55,Govt,13,Married,Tech-support,Male,40,>50K
20,Private,9,Never,Craft-repair,Male,40,<=50K
55,Private,10,Married,Prof-speciality,Male,60,>50K
