X,Algorithm,value
0.0,AdaHT,27
0.001,AdaHT,15
0.01,AdaHT,5
0.1,AdaHT,21
1.0,AdaHT,21
0.01,ASHT,0
0.0,BagAdaHT,30.0
0.001,BagAdaHT,20.2
0.01,BagAdaHT,14.2
0.1,BagAdaHT,18.2
1.0,BagAdaHT,22.6
0.0,BagAdwin,25.0
0.001,BagAdwin,15.0
0.01,BagAdwin,10.4
0.1,BagAdwin,18.6
1.0,BagAdwin,20.8
0.0,BagASHT,0.0
0.001,BagASHT,0.8
0.01,BagASHT,2.2
0.1,BagASHT,2.6
1.0,BagASHT,1.8
0.0,BagHT,25.0
0.001,BagHT,14.0
0.01,BagHT,18.4
0.1,BagHT,19.8
1.0,BagHT,20.8
0.0,BagSRHT,0.0
0.001,BagSRHT,1.2
0.01,BagSRHT,2.2
0.1,BagSRHT,0.8
1.0,BagSRHT,2.4
0.0,BoostAdaHT,30.0
0.001,BoostAdaHT,23.0
0.01,BoostAdaHT,16.2
0.1,BoostAdaHT,19.6
1.0,BoostAdaHT,20.6
0.0,BoostHT,0.0
0.001,BoostHT,0.0
0.01,BoostHT,0.0
0.1,BoostHT,0.0
1.0,BoostHT,0.0
0.0,HT,27
0.001,HT,14
0.01,HT,19
0.1,HT,21
1.0,HT,25
