X,Algorithm,value
0.0,AdaHT,81.85
0.001,AdaHT,32.53
0.01,AdaHT,6.97
0.1,AdaHT,10.51
1.0,AdaHT,30.28
0.01,ASHT,9.73
0.0,BagAdaHT,83.1
0.001,BagAdaHT,41.82
0.01,BagAdaHT,8.71
0.1,BagAdaHT,11.3
1.0,BagAdaHT,38.2
0.0,BagAdwin,82.05
0.001,BagAdwin,35.55
0.01,BagAdwin,13.69
0.1,BagAdwin,11.3
1.0,BagAdwin,37.16
0.0,BagASHT,41.54
0.001,BagASHT,36.55
0.01,BagASHT,13.09
0.1,BagASHT,5.54
1.0,BagASHT,9.54
0.0,BagHT,82.05
0.001,BagHT,23.21
0.01,BagHT,8.13
0.1,BagHT,11.42
1.0,BagHT,37.16
0.0,BagSRHT,43.79
0.001,BagSRHT,39.92
0.01,BagSRHT,15.06
0.1,BagSRHT,6.79
1.0,BagSRHT,11.98
0.0,BoostAdaHT,83.1
0.001,BoostAdaHT,47.32
0.01,BoostAdaHT,7.46
0.1,BoostAdaHT,9.46
1.0,BoostAdaHT,37.53
0.0,BoostHT,82.05
0.001,BoostHT,25.09
0.01,BoostHT,6.44
0.1,BoostHT,9.57
1.0,BoostHT,37.65
0.0,HT,82.09
0.001,HT,15.22
0.01,HT,6.34
0.1,HT,9.98
1.0,HT,29.48
