X,Algorithm,value
0.0,AdaHT,29.71
0.001,AdaHT,17.421
0.01,AdaHT,25.722
0.1,AdaHT,29.5
1.0,AdaHT,38.022
0.01,ASHT,7.918
0.0,BagAdaHT,24.806
0.001,BagAdaHT,71.438
0.01,BagAdaHT,99.855
0.1,BagAdaHT,110.543
1.0,BagAdaHT,126.895
0.0,BagAdwin,8.701
0.001,BagAdwin,45.749
0.01,BagAdwin,44.853
0.1,BagAdwin,40.71
1.0,BagAdwin,47.209
0.0,BagASHT,10.064
0.001,BagASHT,39.029
0.01,BagASHT,38.795
0.1,BagASHT,36.717
1.0,BagASHT,38.521
0.0,BagHT,7.101
0.001,BagHT,32.31
0.01,BagHT,29.05
0.1,BagHT,26.432
1.0,BagHT,30.884
0.0,BagSRHT,23.555
0.001,BagSRHT,68.821
0.01,BagSRHT,87.93
0.1,BagSRHT,108.165
1.0,BagSRHT,125.999
0.0,BoostAdaHT,23.327
0.001,BoostAdaHT,75.248
0.01,BoostAdaHT,107.62
0.1,BoostAdaHT,117.827
1.0,BoostAdaHT,125.054
0.0,BoostHT,7.946
0.001,BoostHT,46.928
0.01,BoostHT,42.685
0.1,BoostHT,37.404
1.0,BoostHT,42.834
0.0,HT,8.231
0.001,HT,9.874
0.01,HT,8.29
0.1,HT,7.761
1.0,HT,9.865
