X,Algorithm,value
0.0,AdaHT,1058
0.001,AdaHT,873
0.01,AdaHT,772
0.1,AdaHT,959
1.0,AdaHT,983
0.01,ASHT,1
0.0,BagAdaHT,1085
0.001,BagAdaHT,1782
0.01,BagAdaHT,4277
0.1,BagAdaHT,4971
1.0,BagAdaHT,5061
0.0,BagAdwin,833
0.001,BagAdwin,1058
0.01,BagAdwin,1600
0.1,BagAdwin,3193
1.0,BagAdwin,3557
0.0,BagASHT,1
0.001,BagASHT,15
0.01,BagASHT,27
0.1,BagASHT,35
1.0,BagASHT,25
0.0,BagHT,833
0.001,BagHT,3679
0.01,BagHT,3627
0.1,BagHT,3527
1.0,BagHT,3557
0.0,BagSRHT,1
0.001,BagSRHT,35
0.01,BagSRHT,35
0.1,BagSRHT,13
1.0,BagSRHT,37
0.0,BoostAdaHT,1085
0.001,BoostAdaHT,1805
0.01,BoostAdaHT,3576
0.1,BoostAdaHT,5035
1.0,BoostAdaHT,5017
0.0,BoostHT,833
0.001,BoostHT,3615
0.01,BoostHT,3633
0.1,BoostHT,3543
1.0,BoostHT,3533
0.0,HT,795
0.001,HT,723
0.01,HT,725
0.1,HT,699
1.0,HT,711
