X,Algorithm,value
0.0,AdaHT,90.47
0.001,AdaHT,91.46
0.01,AdaHT,92.02
0.1,AdaHT,86.77
1.0,AdaHT,87.24
0.01,ASHT,66.94
0.0,BagAdaHT,88.3
0.001,BagAdaHT,94.16
0.01,BagAdaHT,93.99
0.1,BagAdaHT,91.74
1.0,BagAdaHT,89.54
0.0,BagAdwin,89.63
0.001,BagAdwin,93.58
0.01,BagAdwin,92.95
0.1,BagAdwin,92.69
1.0,BagAdwin,90.96
0.0,BagASHT,61.88
0.001,BagASHT,72.71
0.01,BagASHT,77.83
0.1,BagASHT,77.37
1.0,BagASHT,76.99
0.0,BagHT,90.25
0.001,BagHT,91.46
0.01,BagHT,92.0
0.1,BagHT,93.0
1.0,BagHT,89.88
0.0,BagSRHT,64.39
0.001,BagSRHT,75.54
0.01,BagSRHT,88.61
0.1,BagSRHT,79.02
1.0,BagSRHT,78.87
0.0,BoostAdaHT,89.87
0.001,BoostAdaHT,91.55
0.01,BoostAdaHT,90.14
0.1,BoostAdaHT,92.09
1.0,BoostAdaHT,90.23
0.0,BoostHT,91.73
0.001,BoostHT,91.63
0.01,BoostHT,92.9
0.1,BoostHT,93.51
1.0,BoostHT,88.41
0.0,HT,89.35
0.001,HT,89.33
0.01,HT,90.23
0.1,HT,89.43
1.0,HT,87.63
