X,Algorithm,value
0.0,AdaHT,26
0.001,AdaHT,27
0.01,AdaHT,27
0.1,AdaHT,25
1.0,AdaHT,26
0.01,ASHT,0
0.0,BagAdaHT,26.0
0.001,BagAdaHT,26.8
0.01,BagAdaHT,26.2
0.1,BagAdaHT,26.6
1.0,BagAdaHT,21.4
0.0,BagAdwin,26.0
0.001,BagAdwin,25.0
0.01,BagAdwin,28.6
0.1,BagAdwin,24.8
1.0,BagAdwin,24.0
0.0,BagASHT,0.0
0.001,BagASHT,2.2
0.01,BagASHT,2.4
0.1,BagASHT,1.4
1.0,BagASHT,0.8
0.0,BagHT,25.0
0.001,BagHT,23.8
0.01,BagHT,24.2
0.1,BagHT,22.4
1.0,BagHT,24.6
0.0,BagSRHT,0.0
0.001,BagSRHT,0.6
0.01,BagSRHT,2.6
0.1,BagSRHT,2.4
1.0,BagSRHT,1.4
0.0,BoostAdaHT,24.0
0.001,BoostAdaHT,24.0
0.01,BoostAdaHT,23.4
0.1,BoostAdaHT,25.4
1.0,BoostAdaHT,19.6
0.0,BoostHT,0.0
0.001,BoostHT,0.0
0.01,BoostHT,0.0
0.1,BoostHT,0.0
1.0,BoostHT,0.0
0.0,HT,26
0.001,HT,31
0.01,HT,27
0.1,HT,30
1.0,HT,26
