X,Algorithm,value
0.0,AdaHT,80.17
0.001,AdaHT,82.4
0.01,AdaHT,84.04
0.1,AdaHT,73.45
1.0,AdaHT,72.06
0.01,ASHT,29.55
0.0,BagAdaHT,75.65
0.001,BagAdaHT,88.28
0.01,BagAdaHT,87.6
0.1,BagAdaHT,83.45
1.0,BagAdaHT,77.23
0.0,BagAdwin,79.26
0.001,BagAdwin,86.34
0.01,BagAdwin,85.69
0.1,BagAdwin,84.71
1.0,BagAdwin,81.77
0.0,BagASHT,23.8
0.001,BagASHT,45.21
0.01,BagASHT,52.8
0.1,BagASHT,53.83
1.0,BagASHT,52.57
0.0,BagHT,80.46
0.001,BagHT,80.97
0.01,BagHT,84.0
0.1,BagHT,85.99
1.0,BagHT,79.27
0.0,BagSRHT,23.53
0.001,BagSRHT,43.94
0.01,BagSRHT,56.64
0.1,BagSRHT,57.07
1.0,BagSRHT,56.16
0.0,BoostAdaHT,79.73
0.001,BoostAdaHT,82.96
0.01,BoostAdaHT,80.07
0.1,BoostAdaHT,83.55
1.0,BoostAdaHT,80.4
0.0,BoostHT,77.14
0.001,BoostHT,82.24
0.01,BoostHT,84.88
0.1,BoostHT,86.25
1.0,BoostHT,76.63
0.0,HT,78.68
0.001,HT,78.27
0.01,HT,78.77
0.1,HT,74.91
1.0,HT,75.22
