X,Algorithm,value
0.0,AdaHT,4818
0.001,AdaHT,4819
0.01,AdaHT,4916
0.1,AdaHT,4763
1.0,AdaHT,2246
0.01,ASHT,4
0.0,BagAdaHT,4834
0.001,BagAdaHT,25037
0.01,BagAdaHT,25303
0.1,BagAdaHT,25567
1.0,BagAdaHT,12358
0.0,BagAdwin,2986
0.001,BagAdwin,14776
0.01,BagAdwin,13628
0.1,BagAdwin,14146
1.0,BagAdwin,11752
0.0,BagASHT,4
0.001,BagASHT,139
0.01,BagASHT,139
0.1,BagASHT,97
1.0,BagASHT,55
0.0,BagHT,2811
0.001,BagHT,13943
0.01,BagHT,13460
0.1,BagHT,14321
1.0,BagHT,14727
0.0,BagSRHT,4
0.001,BagSRHT,55
0.01,BagSRHT,139
0.1,BagSRHT,139
1.0,BagSRHT,90
0.0,BoostAdaHT,4764
0.001,BoostAdaHT,24136
0.01,BoostAdaHT,25961
0.1,BoostAdaHT,26924
1.0,BoostAdaHT,13424
0.0,BoostHT,2720
0.001,BoostHT,14776
0.01,BoostHT,15679
0.1,BoostHT,16344
1.0,BoostHT,15147
0.0,HT,2769
0.001,HT,2916
0.01,HT,2972
0.1,HT,2832
1.0,HT,3056
