X,Algorithm,value
0.0,AdaHT,90.059
0.001,AdaHT,82.926
0.01,AdaHT,82.318
0.1,AdaHT,84.498
1.0,AdaHT,83.785
0.01,ASHT,76.023
0.0,BagAdaHT,100.652
0.001,BagAdaHT,178.456
0.01,BagAdaHT,192.771
0.1,BagAdaHT,183.657
1.0,BagAdaHT,169.08
0.0,BagAdwin,113.056
0.001,BagAdwin,125.129
0.01,BagAdwin,121.697
0.1,BagAdwin,124.792
1.0,BagAdwin,127.784
0.0,BagASHT,95.255
0.001,BagASHT,143.146
0.01,BagASHT,116.76
0.1,BagASHT,118.196
1.0,BagASHT,115.104
0.0,BagHT,90.517
0.001,BagHT,115.119
0.01,BagHT,117.476
0.1,BagHT,114.896
1.0,BagHT,114.707
0.0,BagSRHT,87.693
0.001,BagSRHT,170.574
0.01,BagSRHT,167.341
0.1,BagSRHT,161.725
1.0,BagSRHT,161.388
0.0,BoostAdaHT,99.592
0.001,BoostAdaHT,185.982
0.01,BoostAdaHT,181.265
0.1,BoostAdaHT,181.091
1.0,BoostAdaHT,172.14
0.0,BoostHT,85.783
0.001,BoostHT,135.582
0.01,BoostHT,130.273
0.1,BoostHT,139.908
1.0,BoostHT,140.376
0.0,HT,64.47
0.001,HT,64.507
0.01,HT,63.913
0.1,HT,63.926
1.0,HT,64.063
