X,Algorithm,value
0.0,AdaHT,1071
0.001,AdaHT,1071
0.01,AdaHT,1093
0.1,AdaHT,1113
1.0,AdaHT,498
0.01,ASHT,1
0.0,BagAdaHT,1075
0.001,BagAdaHT,5567
0.01,BagAdaHT,5689
0.1,BagAdaHT,5839
1.0,BagAdaHT,5211
0.0,BagAdwin,853
0.001,BagAdwin,4221
0.01,BagAdwin,3893
0.1,BagAdwin,4041
1.0,BagAdwin,3357
0.0,BagASHT,1
0.001,BagASHT,39
0.01,BagASHT,39
0.1,BagASHT,27
1.0,BagASHT,15
0.0,BagHT,803
0.001,BagHT,3983
0.01,BagHT,3845
0.1,BagHT,4091
1.0,BagHT,4207
0.0,BagSRHT,1
0.001,BagSRHT,15
0.01,BagSRHT,39
0.1,BagSRHT,39
1.0,BagSRHT,25
0.0,BoostAdaHT,1059
0.001,BoostAdaHT,6486
0.01,BoostAdaHT,6112
0.1,BoostAdaHT,6647
1.0,BoostAdaHT,6280
0.0,BoostHT,777
0.001,BoostHT,4221
0.01,BoostHT,4479
0.1,BoostHT,4669
1.0,BoostHT,4327
0.0,HT,791
0.001,HT,833
0.01,HT,849
0.1,HT,809
1.0,HT,873
