X,Algorithm,value
1600,AdaHT,53.41
200,AdaHT,53.48
3200,AdaHT,53.82
400,AdaHT,54.16
800,AdaHT,53.93
200,ASHT,54.85
1600,BagAdaHT,54.13
200,BagAdaHT,54.34
3200,BagAdaHT,54.3
400,BagAdaHT,54.31
800,BagAdaHT,54.35
1600,BagAdwin,56.32
200,BagAdwin,56.83
3200,BagAdwin,55.7
400,BagAdwin,56.7
800,BagAdwin,56.64
1600,BagASHT,56.53
200,BagASHT,56.53
3200,BagASHT,56.53
400,BagASHT,56.53
800,BagASHT,56.53
1600,BagHT,53.92
200,BagHT,54.05
3200,BagHT,53.94
400,BagHT,54.05
800,BagHT,54.1
1600,BagSRHT,56.76
200,BagSRHT,57.51
3200,BagSRHT,56.21
400,BagSRHT,57.45
800,BagSRHT,57.21
1600,BoostAdaHT,53.83
200,BoostAdaHT,53.73
3200,BoostAdaHT,53.77
400,BoostAdaHT,54.02
800,BoostAdaHT,53.81
1600,BoostHT,53.42
200,BoostHT,53.22
3200,BoostHT,53.49
400,BoostHT,53.31
800,BoostHT,53.29
1600,HT,53.18
200,HT,53.15
3200,HT,53.18
400,HT,53.25
800,HT,53.19
