X,Algorithm,value
1600,AdaHT,1
200,AdaHT,5
3200,AdaHT,8
400,AdaHT,6
800,AdaHT,11
200,ASHT,0
1600,BagAdaHT,13.8
200,BagAdaHT,14.2
3200,BagAdaHT,12.8
400,BagAdaHT,16.8
800,BagAdaHT,12.8
1600,BagAdwin,0.0
200,BagAdwin,0.4
3200,BagAdwin,0.0
400,BagAdwin,0.0
800,BagAdwin,0.8
1600,BagASHT,2.2
200,BagASHT,2.2
3200,BagASHT,2.2
400,BagASHT,2.2
800,BagASHT,2.2
1600,BagHT,16.4
200,BagHT,18.4
3200,BagHT,16.2
400,BagHT,18.8
800,BagHT,18.8
1600,BagSRHT,2.2
200,BagSRHT,2.2
3200,BagSRHT,1.6
400,BagSRHT,1.6
800,BagSRHT,1.8
1600,BoostAdaHT,13.0
200,BoostAdaHT,16.2
3200,BoostAdaHT,10.0
400,BoostAdaHT,13.6
800,BoostAdaHT,13.6
1600,BoostHT,0.0
200,BoostHT,0.0
3200,BoostHT,0.0
400,BoostHT,0.0
800,BoostHT,0.0
1600,HT,16
200,HT,19
3200,HT,19
400,HT,20
800,HT,18
