X,Algorithm,value
1600,AdaHT,6.84
200,AdaHT,6.97
3200,AdaHT,7.66
400,AdaHT,8.34
800,AdaHT,7.89
200,ASHT,9.73
1600,BagAdaHT,8.29
200,BagAdaHT,8.71
3200,BagAdaHT,8.63
400,BagAdaHT,8.64
800,BagAdaHT,8.71
1600,BagAdwin,12.67
200,BagAdwin,13.69
3200,BagAdwin,11.83
400,BagAdwin,13.44
800,BagAdwin,13.31
1600,BagASHT,13.09
200,BagASHT,13.09
3200,BagASHT,13.09
400,BagASHT,13.09
800,BagASHT,13.09
1600,BagHT,7.88
200,BagHT,8.13
3200,BagHT,7.92
400,BagHT,8.12
800,BagHT,8.22
1600,BagSRHT,13.57
200,BagSRHT,15.06
3200,BagSRHT,13.48
400,BagSRHT,14.93
800,BagSRHT,14.46
1600,BoostAdaHT,7.67
200,BoostAdaHT,7.46
3200,BoostAdaHT,7.56
400,BoostAdaHT,8.05
800,BoostAdaHT,7.63
1600,BoostHT,6.85
200,BoostHT,6.44
3200,BoostHT,6.99
400,BoostHT,6.63
800,BoostHT,6.58
1600,HT,6.39
200,HT,6.34
3200,HT,6.38
400,HT,6.52
800,HT,6.4
