X,Algorithm,value
1600,AdaHT,22.472
200,AdaHT,25.722
3200,AdaHT,18.696
400,AdaHT,20.434
800,AdaHT,20.643
200,ASHT,7.918
1600,BagAdaHT,104.223
200,BagAdaHT,99.855
3200,BagAdaHT,89.163
400,BagAdaHT,104.551
800,BagAdaHT,97.752
1600,BagAdwin,43.051
200,BagAdwin,44.853
3200,BagAdwin,42.432
400,BagAdwin,42.985
800,BagAdwin,42.975
1600,BagASHT,38.828
200,BagASHT,38.795
3200,BagASHT,36.45
400,BagASHT,38.079
800,BagASHT,35.677
1600,BagHT,25.288
200,BagHT,29.05
3200,BagHT,23.971
400,BagHT,28.123
800,BagHT,26.121
1600,BagSRHT,130.121
200,BagSRHT,157.93
3200,BagSRHT,117.68
400,BagSRHT,152.032
800,BagSRHT,145.153
1600,BoostAdaHT,98.181
200,BoostAdaHT,107.62
3200,BoostAdaHT,94.948
400,BoostAdaHT,102.381
800,BoostAdaHT,105.382
1600,BoostHT,38.01
200,BoostHT,42.685
3200,BoostHT,35.516
400,BoostHT,40.638
800,BoostHT,37.939
1600,HT,7.124
200,HT,8.29
3200,HT,6.93
400,HT,7.543
800,HT,7.366
