X,Algorithm,value
1600,AdaHT,88.66
200,AdaHT,92.02
3200,AdaHT,91.19
400,AdaHT,89.57
800,AdaHT,88.61
200,ASHT,66.94
1600,BagAdaHT,93.09
200,BagAdaHT,93.99
3200,BagAdaHT,90.53
400,BagAdaHT,94.5
800,BagAdaHT,93.28
1600,BagAdwin,91.9
200,BagAdwin,92.95
3200,BagAdwin,92.62
400,BagAdwin,89.9
800,BagAdwin,91.14
1600,BagASHT,73.22
200,BagASHT,77.83
3200,BagASHT,76.91
400,BagASHT,73.36
800,BagASHT,75.08
1600,BagHT,90.93
200,BagHT,92.0
3200,BagHT,89.06
400,BagHT,90.22
800,BagHT,91.29
1600,BagSRHT,78.54
200,BagSRHT,78.61
3200,BagSRHT,78.84
400,BagSRHT,78.13
800,BagSRHT,77.36
1600,BoostAdaHT,91.78
200,BoostAdaHT,90.14
3200,BoostAdaHT,90.12
400,BoostAdaHT,94.79
800,BoostAdaHT,91.36
1600,BoostHT,92.76
200,BoostHT,92.9
3200,BoostHT,90.21
400,BoostHT,90.56
800,BoostHT,92.89
1600,HT,88.24
200,HT,90.23
3200,HT,87.34
400,HT,90.47
800,HT,89.52
