X,Algorithm,value
1600,AdaHT,27
200,AdaHT,27
3200,AdaHT,28
400,AdaHT,33
800,AdaHT,31
200,ASHT,0
1600,BagAdaHT,27.0
200,BagAdaHT,26.2
3200,BagAdaHT,23.4
400,BagAdaHT,29.2
800,BagAdaHT,24.8
1600,BagAdwin,23.0
200,BagAdwin,28.6
3200,BagAdwin,22.2
400,BagAdwin,24.6
800,BagAdwin,28.6
1600,BagASHT,2.0
200,BagASHT,2.4
3200,BagASHT,1.4
400,BagASHT,1.8
800,BagASHT,2.6
1600,BagHT,26.6
200,BagHT,24.2
3200,BagHT,20.8
400,BagHT,26.8
800,BagHT,22.2
1600,BagSRHT,1.4
200,BagSRHT,2.6
3200,BagSRHT,1.8
400,BagSRHT,1.4
800,BagSRHT,2.0
1600,BoostAdaHT,21.0
200,BoostAdaHT,23.4
3200,BoostAdaHT,18.8
400,BoostAdaHT,21.4
800,BoostAdaHT,20.8
1600,BoostHT,0.0
200,BoostHT,0.0
3200,BoostHT,0.0
400,BoostHT,0.0
800,BoostHT,0.0
1600,HT,24
200,HT,27
3200,HT,28
400,HT,25
800,HT,25
