X,Algorithm,value
1600,AdaHT,75.9
200,AdaHT,84.04
3200,AdaHT,82.14
400,AdaHT,78.63
800,AdaHT,76.75
200,ASHT,29.55
1600,BagAdaHT,86.06
200,BagAdaHT,87.6
3200,BagAdaHT,80.81
400,BagAdaHT,88.52
800,BagAdaHT,86.15
1600,BagAdwin,83.46
200,BagAdwin,85.69
3200,BagAdwin,82.69
400,BagAdwin,79.35
800,BagAdwin,81.43
1600,BagASHT,51.22
200,BagASHT,52.8
3200,BagASHT,53.58
400,BagASHT,46.72
800,BagASHT,50.17
1600,BagHT,81.49
200,BagHT,84.0
3200,BagHT,76.21
400,BagHT,79.49
800,BagHT,82.04
1600,BagSRHT,52.28
200,BagSRHT,54.64
3200,BagSRHT,53.21
400,BagSRHT,54.73
800,BagSRHT,54.21
1600,BoostAdaHT,82.45
200,BoostAdaHT,80.07
3200,BoostAdaHT,80.11
400,BoostAdaHT,89.18
800,BoostAdaHT,82.68
1600,BoostHT,85.51
200,BoostHT,84.88
3200,BoostHT,80.14
400,BoostHT,80.32
800,BoostHT,84.67
1600,HT,76.34
200,HT,78.77
3200,HT,74.45
400,HT,80.2
800,HT,79.0
