X,Algorithm,value
1600,AdaHT,3659
200,AdaHT,4916
3200,AdaHT,2884
400,AdaHT,4395
800,AdaHT,4126
200,ASHT,4
1600,BagAdaHT,17306
200,BagAdaHT,25303
3200,BagAdaHT,14581
400,BagAdaHT,20711
800,BagAdaHT,21060
1600,BagAdwin,10359
200,BagAdwin,13628
3200,BagAdwin,8371
400,BagAdwin,13516
800,BagAdwin,11612
1600,BagASHT,174
200,BagASHT,139
3200,BagASHT,104
400,BagASHT,97
800,BagASHT,146
1600,BagHT,10499
200,BagHT,13460
3200,BagHT,8476
400,BagHT,13544
800,BagHT,12305
1600,BagSRHT,90
200,BagSRHT,139
3200,BagSRHT,139
400,BagSRHT,83
800,BagSRHT,111
1600,BoostAdaHT,15787
200,BoostAdaHT,25961
3200,BoostAdaHT,13578
400,BoostAdaHT,18371
800,BoostAdaHT,18711
1600,BoostHT,10128
200,BoostHT,15679
3200,BoostHT,8000
400,BoostHT,13348
800,BoostHT,12144
1600,HT,2118
200,HT,2972
3200,HT,1698
400,HT,2783
800,HT,2384
