X,Algorithm,value
1600,AdaHT,813
200,AdaHT,1093
3200,AdaHT,641
400,AdaHT,977
800,AdaHT,917
200,ASHT,1
1600,BagAdaHT,3847
200,BagAdaHT,5689
3200,BagAdaHT,3251
400,BagAdaHT,4605
800,BagAdaHT,4683
1600,BagAdwin,2959
200,BagAdwin,3893
3200,BagAdwin,2391
400,BagAdwin,3861
800,BagAdwin,3317
1600,BagASHT,49
200,BagASHT,39
3200,BagASHT,29
400,BagASHT,27
800,BagASHT,41
1600,BagHT,2999
200,BagHT,3845
3200,BagHT,2421
400,BagHT,3869
800,BagHT,3515
1600,BagSRHT,25
200,BagSRHT,39
3200,BagSRHT,39
400,BagSRHT,23
800,BagSRHT,31
1600,BoostAdaHT,3705
200,BoostAdaHT,6112
3200,BoostAdaHT,3117
400,BoostAdaHT,5944
800,BoostAdaHT,4432
1600,BoostHT,2893
200,BoostHT,4479
3200,BoostHT,2285
400,BoostHT,3813
800,BoostHT,3469
1600,HT,605
200,HT,849
3200,HT,485
400,HT,795
800,HT,681
