X,Algorithm,value
100,AdaHT,53.48
150,AdaHT,53.48
200,AdaHT,53.48
250,AdaHT,53.48
50,AdaHT,53.48
100,ASHT,54.85
100,BagAdaHT,54.34
150,BagAdaHT,54.34
200,BagAdaHT,54.34
250,BagAdaHT,54.34
50,BagAdaHT,54.34
100,BagAdwin,56.83
150,BagAdwin,56.83
200,BagAdwin,56.83
250,BagAdwin,56.83
50,BagAdwin,56.83
100,BagASHT,56.53
150,BagASHT,56.53
200,BagASHT,56.53
250,BagASHT,56.53
50,BagASHT,56.53
100,BagHT,54.05
150,BagHT,54.05
200,BagHT,54.05
250,BagHT,54.05
50,BagHT,54.05
100,BagSRHT,57.51
150,BagSRHT,57.51
200,BagSRHT,57.51
250,BagSRHT,57.51
50,BagSRHT,57.51
100,BoostAdaHT,53.73
150,BoostAdaHT,53.73
200,BoostAdaHT,53.73
250,BoostAdaHT,53.73
50,BoostAdaHT,53.73
100,BoostHT,53.22
150,BoostHT,53.22
200,BoostHT,53.22
250,BoostHT,53.22
50,BoostHT,53.22
100,HT,53.15
150,HT,53.15
200,HT,53.15
250,HT,53.15
50,HT,53.15
