X,Algorithm,value
100,AdaHT,6.97
150,AdaHT,6.97
200,AdaHT,6.97
250,AdaHT,6.97
50,AdaHT,6.97
100,ASHT,9.73
100,BagAdaHT,8.71
150,BagAdaHT,8.71
200,BagAdaHT,8.71
250,BagAdaHT,8.71
50,BagAdaHT,8.71
100,BagAdwin,13.69
150,BagAdwin,13.69
200,BagAdwin,13.69
250,BagAdwin,13.69
50,BagAdwin,13.69
100,BagASHT,13.09
150,BagASHT,13.09
200,BagASHT,13.09
250,BagASHT,13.09
50,BagASHT,13.09
100,BagHT,8.13
150,BagHT,8.13
200,BagHT,8.13
250,BagHT,8.13
50,BagHT,8.13
100,BagSRHT,15.06
150,BagSRHT,15.06
200,BagSRHT,15.06
250,BagSRHT,15.06
50,BagSRHT,15.06
100,BoostAdaHT,7.46
150,BoostAdaHT,7.46
200,BoostAdaHT,7.46
250,BoostAdaHT,7.46
50,BoostAdaHT,7.46
100,BoostHT,6.44
150,BoostHT,6.44
200,BoostHT,6.44
250,BoostHT,6.44
50,BoostHT,6.44
100,HT,6.34
150,HT,6.34
200,HT,6.34
250,HT,6.34
50,HT,6.34
