X,Algorithm,value
100,AdaHT,772
150,AdaHT,772
200,AdaHT,772
250,AdaHT,772
50,AdaHT,772
100,ASHT,1
100,BagAdaHT,4277
150,BagAdaHT,4277
200,BagAdaHT,4277
250,BagAdaHT,4277
50,BagAdaHT,4277
100,BagAdwin,9
150,BagAdwin,9
200,BagAdwin,9
250,BagAdwin,9
50,BagAdwin,9
100,BagASHT,27
150,BagASHT,27
200,BagASHT,27
250,BagASHT,27
50,BagASHT,27
100,BagHT,3627
150,BagHT,3627
200,BagHT,3627
250,BagHT,3627
50,BagHT,3627
100,BagSRHT,35
150,BagSRHT,35
200,BagSRHT,35
250,BagSRHT,35
50,BagSRHT,35
100,BoostAdaHT,3576
150,BoostAdaHT,3576
200,BoostAdaHT,3576
250,BoostAdaHT,3576
50,BoostAdaHT,3576
100,BoostHT,3633
150,BoostHT,3633
200,BoostHT,3633
250,BoostHT,3633
50,BoostHT,3633
100,HT,725
150,HT,725
200,HT,725
250,HT,725
50,HT,725
