X,Algorithm,value
100,AdaHT,92.02
150,AdaHT,88.27
200,AdaHT,92.33
250,AdaHT,90.09
50,AdaHT,90.57
100,ASHT,66.94
100,BagAdaHT,93.99
150,BagAdaHT,92.17
200,BagAdaHT,91.24
250,BagAdaHT,91.1
50,BagAdaHT,92.29
100,BagAdwin,92.95
150,BagAdwin,92.66
200,BagAdwin,91.65
250,BagAdwin,91.42
50,BagAdwin,93.59
100,BagASHT,72.61
150,BagASHT,70.46
200,BagASHT,73.05
250,BagASHT,72.16
50,BagASHT,75.01
100,BagHT,92.0
150,BagHT,92.74
200,BagHT,92.29
250,BagHT,91.82
50,BagHT,91.47
100,BagSRHT,77.83
150,BagSRHT,77.15
200,BagSRHT,75.55
250,BagSRHT,75.73
50,BagSRHT,76.73
100,BoostAdaHT,90.14
150,BoostAdaHT,92.43
200,BoostAdaHT,92.43
250,BoostAdaHT,93.0
50,BoostAdaHT,93.13
100,BoostHT,92.9
150,BoostHT,90.97
200,BoostHT,93.08
250,BoostHT,92.07
50,BoostHT,90.03
100,HT,90.23
150,HT,90.18
200,HT,90.6
250,HT,89.38
50,HT,90.32
