X,Algorithm,value
100,AdaHT,27
150,AdaHT,32
200,AdaHT,23
250,AdaHT,30
50,AdaHT,26
100,ASHT,0
100,BagAdaHT,26.2
150,BagAdaHT,28.2
200,BagAdaHT,26.0
250,BagAdaHT,26.6
50,BagAdaHT,28.8
100,BagAdwin,28.6
150,BagAdwin,26.0
200,BagAdwin,26.0
250,BagAdwin,28.8
50,BagAdwin,23.6
100,BagASHT,2.4
150,BagASHT,1.2
200,BagASHT,1.8
250,BagASHT,1.8
50,BagASHT,1.6
100,BagHT,24.2
150,BagHT,24.4
200,BagHT,24.0
250,BagHT,25.4
50,BagHT,26.2
100,BagSRHT,2.6
150,BagSRHT,2.0
200,BagSRHT,1.2
250,BagSRHT,1.4
50,BagSRHT,1.8
100,BoostAdaHT,23.4
150,BoostAdaHT,21.4
200,BoostAdaHT,23.4
250,BoostAdaHT,19.4
50,BoostAdaHT,21.4
100,BoostHT,0.0
150,BoostHT,0.0
200,BoostHT,0.0
250,BoostHT,0.0
50,BoostHT,0.0
100,HT,27
150,HT,26
200,HT,27
250,HT,33
50,HT,25
