X,Algorithm,value
100,AdaHT,84.04
150,AdaHT,76.36
200,AdaHT,81.82
250,AdaHT,80.13
50,AdaHT,80.52
100,ASHT,29.55
100,BagAdaHT,87.6
150,BagAdaHT,84.23
200,BagAdaHT,82.11
250,BagAdaHT,81.58
50,BagAdaHT,83.1
100,BagAdwin,85.69
150,BagAdwin,84.77
200,BagAdwin,83.21
250,BagAdwin,82.7
50,BagAdwin,86.99
100,BagASHT,36.64
150,BagASHT,22.8
200,BagASHT,37.87
250,BagASHT,27.53
50,BagASHT,41.74
100,BagHT,84.0
150,BagHT,84.25
200,BagHT,83.42
250,BagHT,82.75
50,BagHT,82.89
100,BagSRHT,52.8
150,BagSRHT,54.29
200,BagSRHT,49.26
250,BagSRHT,50.92
50,BagSRHT,53.35
100,BoostAdaHT,80.07
150,BoostAdaHT,84.78
200,BoostAdaHT,84.45
250,BoostAdaHT,84.69
50,BoostAdaHT,85.81
100,BoostHT,84.88
150,BoostHT,81.93
200,BoostHT,85.93
250,BoostHT,83.88
50,BoostHT,79.63
100,HT,78.77
150,HT,80.34
200,HT,81.12
250,HT,78.62
50,HT,80.62
