X,Algorithm,value
100,AdaHT,4916
150,AdaHT,4989
200,AdaHT,4081
250,AdaHT,4473
50,AdaHT,4949
100,ASHT,4
100,BagAdaHT,25303
150,BagAdaHT,25012
200,BagAdaHT,26682
250,BagAdaHT,24778
50,BagAdaHT,25090
100,BagAdwin,13628
150,BagAdwin,14216
200,BagAdwin,14643
250,BagAdwin,14069
50,BagAdwin,14307
100,BagASHT,139
150,BagASHT,69
200,BagASHT,146
250,BagASHT,118
50,BagASHT,118
100,BagHT,13460
150,BagHT,14300
200,BagHT,12858
250,BagHT,13740
50,BagHT,14377
100,BagSRHT,139
150,BagSRHT,90
200,BagSRHT,69
250,BagSRHT,69
50,BagSRHT,111
100,BoostAdaHT,25961
150,BoostAdaHT,21157
200,BoostAdaHT,23321
250,BoostAdaHT,20318
50,BoostAdaHT,24277
100,BoostHT,15679
150,BoostHT,14657
200,BoostHT,15945
250,BoostHT,15224
50,BoostHT,14223
100,HT,2972
150,HT,2832
200,HT,2853
250,HT,2825
50,HT,2832
