X,Algorithm,value
100,AdaHT,82.318
150,AdaHT,85.306
200,AdaHT,83.822
250,AdaHT,83.673
50,AdaHT,84.236
100,ASHT,76.023
100,BagAdaHT,192.771
150,BagAdaHT,182.735
200,BagAdaHT,185.424
250,BagAdaHT,186.993
50,BagAdaHT,192.453
100,BagAdwin,121.697
150,BagAdwin,124.705
200,BagAdwin,129.831
250,BagAdwin,127.122
50,BagAdwin,136.61
100,BagASHT,116.76
150,BagASHT,117.423
200,BagASHT,122.625
250,BagASHT,119.586
50,BagASHT,118.085
100,BagHT,117.476
150,BagHT,112.908
200,BagHT,111.309
250,BagHT,113.294
50,BagHT,118.809
100,BagSRHT,167.341
150,BagSRHT,180.297
200,BagSRHT,189.746
250,BagSRHT,181.707
50,BagSRHT,162.554
100,BoostAdaHT,181.265
150,BoostAdaHT,171.5
200,BoostAdaHT,176.842
250,BoostAdaHT,175.491
50,BoostAdaHT,176.038
100,BoostHT,130.273
150,BoostHT,123.493
200,BoostHT,118.143
250,BoostHT,121.194
50,BoostHT,123.47
100,HT,63.913
150,HT,62.878
200,HT,64.194
250,HT,63.067
50,HT,63.095
