X,Algorithm,value
100,AdaHT,1093
150,AdaHT,1109
200,AdaHT,907
250,AdaHT,995
50,AdaHT,1109
100,ASHT,1
100,BagAdaHT,5689
150,BagAdaHT,5563
200,BagAdaHT,5933
250,BagAdaHT,5511
50,BagAdaHT,5579
100,BagAdwin,3893
150,BagAdwin,4061
200,BagAdwin,4183
250,BagAdwin,4019
50,BagAdwin,4087
100,BagASHT,39
150,BagASHT,19
200,BagASHT,41
250,BagASHT,33
50,BagASHT,33
100,BagHT,3845
150,BagHT,4085
200,BagHT,3673
250,BagHT,3925
50,BagHT,4107
100,BagSRHT,39
150,BagSRHT,25
200,BagSRHT,19
250,BagSRHT,19
50,BagSRHT,31
100,BoostAdaHT,6112
150,BoostAdaHT,6605
200,BoostAdaHT,6637
250,BoostAdaHT,6838
50,BoostAdaHT,7001
100,BoostHT,4479
150,BoostHT,4187
200,BoostHT,4555
250,BoostHT,4349
50,BoostHT,4063
100,HT,849
150,HT,809
200,HT,815
250,HT,807
50,HT,809
