X,Algorithm,value
100,AdaHT,6.97
20,AdaHT,63.84
40,AdaHT,24.9
50,AdaHT,6.97
60,AdaHT,6.97
80,AdaHT,6.97
100,ASHT,9.73
100,BagAdaHT,8.71
20,BagAdaHT,67.82
40,BagAdaHT,26.84
50,BagAdaHT,8.71
60,BagAdaHT,8.71
80,BagAdaHT,8.71
100,BagAdwin,13.69
20,BagAdwin,67.55
40,BagAdwin,27.06
50,BagAdwin,13.69
60,BagAdwin,13.69
80,BagAdwin,13.69
100,BagASHT,13.09
20,BagASHT,46.27
40,BagASHT,26.09
50,BagASHT,13.09
60,BagASHT,13.09
80,BagASHT,13.09
100,BagHT,8.13
20,BagHT,67.67
40,BagHT,26.68
50,BagHT,8.13
60,BagHT,8.13
80,BagHT,8.13
100,BagSRHT,15.06
20,BagSRHT,48.84
40,BagSRHT,27.37
50,BagSRHT,15.06
60,BagSRHT,15.06
80,BagSRHT,15.06
100,BoostAdaHT,7.46
20,BoostAdaHT,64.26
40,BoostAdaHT,24.41
50,BoostAdaHT,7.46
60,BoostAdaHT,7.46
80,BoostAdaHT,7.46
100,BoostHT,6.44
20,BoostHT,64.94
40,BoostHT,24.42
50,BoostHT,6.44
60,BoostHT,6.44
80,BoostHT,6.44
100,HT,6.34
20,HT,62.06
40,HT,25.1
50,HT,6.34
60,HT,6.34
80,HT,6.34
