X,Algorithm,value
100,AdaHT,25.722
20,AdaHT,26.677
40,AdaHT,27.833
50,AdaHT,25.63
60,AdaHT,25.559
80,AdaHT,25.525
100,ASHT,7.918
100,BagAdaHT,99.855
20,BagAdaHT,100.102
40,BagAdaHT,96.92
50,BagAdaHT,100.411
60,BagAdaHT,97.664
80,BagAdaHT,105.901
100,BagAdwin,44.853
20,BagAdwin,38.421
40,BagAdwin,40.168
50,BagAdwin,44.768
60,BagAdwin,45.846
80,BagAdwin,46.877
100,BagASHT,38.795
20,BagASHT,34.96
40,BagASHT,34.266
50,BagASHT,37.648
60,BagASHT,37.046
80,BagASHT,39.014
100,BagHT,29.05
20,BagHT,24.417
40,BagHT,25.886
50,BagHT,28.62
60,BagHT,28.049
80,BagHT,27.475
100,BagSRHT,157.93
20,BagSRHT,159.051
40,BagSRHT,152.293
50,BagSRHT,158.361
60,BagSRHT,158.447
80,BagSRHT,157.991
100,BoostAdaHT,107.62
20,BoostAdaHT,103.745
40,BoostAdaHT,101.866
50,BoostAdaHT,109.885
60,BoostAdaHT,111.739
80,BoostAdaHT,110.592
100,BoostHT,42.685
20,BoostHT,36.876
40,BoostHT,39.404
50,BoostHT,40.722
60,BoostHT,40.54
80,BoostHT,41.956
100,HT,8.29
20,HT,6.436
40,HT,7.188
50,HT,7.971
60,HT,7.679
80,HT,7.837
