X,Algorithm,value
100,AdaHT,772
20,AdaHT,1037
40,AdaHT,955
50,AdaHT,772
60,AdaHT,772
80,AdaHT,772
100,ASHT,1
100,BagAdaHT,4277
20,BagAdaHT,5299
40,BagAdaHT,5196
50,BagAdaHT,4277
60,BagAdaHT,4277
80,BagAdaHT,4277
100,BagAdwin,9
20,BagAdwin,3657
40,BagAdwin,1781
50,BagAdwin,9
60,BagAdwin,9
80,BagAdwin,9
100,BagASHT,27
20,BagASHT,45
40,BagASHT,27
50,BagASHT,27
60,BagASHT,27
80,BagASHT,27
100,BagHT,3627
20,BagHT,3831
40,BagHT,3693
50,BagHT,3627
60,BagHT,3627
80,BagHT,3627
100,BagSRHT,35
20,BagSRHT,31
40,BagSRHT,45
50,BagSRHT,35
60,BagSRHT,35
80,BagSRHT,35
100,BoostAdaHT,3576
20,BoostAdaHT,5339
40,BoostAdaHT,4722
50,BoostAdaHT,3576
60,BoostAdaHT,3576
80,BoostAdaHT,3576
100,BoostHT,3633
20,BoostHT,3809
40,BoostHT,3711
50,BoostHT,3633
60,BoostHT,3633
80,BoostHT,3633
100,HT,725
20,HT,765
40,HT,719
50,HT,725
60,HT,725
80,HT,725
