X,Algorithm,value
100,AdaHT,92.02
20,AdaHT,88.08
40,AdaHT,89.18
50,AdaHT,90.57
60,AdaHT,89.11
80,AdaHT,87.91
100,ASHT,66.94
100,BagAdaHT,93.99
20,BagAdaHT,92.35
40,BagAdaHT,92.06
50,BagAdaHT,92.29
60,BagAdaHT,93.47
80,BagAdaHT,91.74
100,BagAdwin,92.95
20,BagAdwin,92.03
40,BagAdwin,89.51
50,BagAdwin,93.59
60,BagAdwin,92.0
80,BagAdwin,90.78
100,BagASHT,67.83
20,BagASHT,68.47
40,BagASHT,70.48
50,BagASHT,70.73
60,BagASHT,70.53
80,BagASHT,66.2
100,BagHT,92.0
20,BagHT,93.69
40,BagHT,94.29
50,BagHT,91.47
60,BagHT,94.38
80,BagHT,92.05
100,BagSRHT,68.61
20,BagSRHT,69.47
40,BagSRHT,69.63
50,BagSRHT,71.01
60,BagSRHT,70.42
80,BagSRHT,66.55
100,BoostAdaHT,90.14
20,BoostAdaHT,92.6
40,BoostAdaHT,91.97
50,BoostAdaHT,93.13
60,BoostAdaHT,92.87
80,BoostAdaHT,94.05
100,BoostHT,92.9
20,BoostHT,93.39
40,BoostHT,92.33
50,BoostHT,90.03
60,BoostHT,93.17
80,BoostHT,91.88
100,HT,90.23
20,HT,92.21
40,HT,92.12
50,HT,90.32
60,HT,91.08
80,HT,88.46
